Frame;Time;Acc1X;Acc1Y;Acc1Z;Gy1X;Gy1Y;Gy1Z;Acc2X;Acc2Y;Acc2Z;Gy2X;Gy2Y;Gy2Z;WristLX;WristLY;WristLZ;WristLRotX;WristLRotY;WristLRotZ;PalmLX;PalmLY;PalmLZ;PalmLRotX;PalmLRotY;PalmLRotZ;WristRX;WristRY;WristRZ;WristRRotX;WristRRotY;WristRRotZ;PalmRX;PalmRY;PalmRZ;PalmRRotX;PalmRRotY;PalmRRotZ
1;5,909569;0,002;-0,0017;-0,002;-0,1;2,63;1,18;0;-0,0193;0,0364;-7,89;-1,63;-1,29;-0,0683;0,7287;0,2125;5,1840;12,8152;19,2001;-0,0498;0,7191;0,2744;5,1840;12,8152;19,2001;0,0190;0,9706;0,2775;3,8616;4,9120;3,2551;0,0108;0,9700;0,3421;3,8616;4,9120;3,2551
2;5,93746;0;-0,0007;-0,0007;0;2,5;1,18;0;-0,0176;0,0332;-7,66;-0,59;-1,23;-0,0683;0,7291;0,2126;5,2614;12,8152;19,1790;-0,0498;0,7194;0,2744;5,2614;12,8152;19,1790;0,0190;0,9705;0,2774;3,9319;4,9041;3,2599;0,0107;0,9700;0,3420;3,9319;4,9041;3,2599
3;5,965441;0,0024;0,001;-0,002;0,03;2,56;1,16;0;-0,0142;0,0317;-8,23;1,27;-0,78;-0,0684;0,7290;0,2128;5,3824;12,8089;19,2065;-0,0499;0,7192;0,2746;5,3824;12,8089;19,2065;0,0188;0,9705;0,2774;3,9821;4,8800;3,2910;0,0106;0,9700;0,3420;3,9821;4,8800;3,2910
4;5,993231;0;-0,0005;-0,001;0,07;2,74;1,26;0;-0,02;0,0281;-8,53;2,61;-0,49;-0,0685;0,7289;0,2128;5,3601;12,8159;19,2349;-0,0500;0,7191;0,2746;5,3601;12,8159;19,2349;0,0188;0,9705;0,2772;4,0146;4,8311;3,2486;0,0107;0,9700;0,3419;4,0146;4,8311;3,2486
5;6,021347;-0,0017;0,0012;-0,0015;-0,11;2,74;1,13;0;-0,0266;0,0303;-8,28;2,4;-1,38;-0,0686;0,7286;0,2127;5,2963;12,8200;19,2326;-0,0501;0,7188;0,2746;5,2963;12,8200;19,2326;0,0186;0,9703;0,2774;4,0751;4,8299;3,1873;0,0105;0,9699;0,3421;4,0751;4,8299;3,1873
6;6,049093;0,0015;0,0042;0,0027;-0,05;2,72;1,14;0;-0,031;0,0298;-8,4;1,82;-1,62;-0,0687;0,7284;0,2125;5,1866;12,8527;19,2147;-0,0502;0,7187;0,2744;5,1866;12,8527;19,2147;0,0187;0,9701;0,2772;4,0998;4,8311;3,1421;0,0105;0,9697;0,3419;4,0998;4,8311;3,1421
7;6,076633;-0,0024;0,0022;0,0022;0,04;2,59;1,21;0;-0,0168;0,0325;-8,37;0,97;-1,59;-0,0689;0,7285;0,2123;5,1260;12,8657;19,1805;-0,0504;0,7190;0,2741;5,1260;12,8657;19,1805;0,0185;0,9699;0,2773;4,1197;4,7688;3,0898;0,0104;0,9696;0,3419;4,1197;4,7688;3,0898
8;6,104585;-0,0002;0,0017;-0,0022;-0,11;2,66;1,2;0;-0,0273;0,0388;-8,15;1,48;-1,48;-0,0688;0,7283;0,2122;5,0629;12,8316;19,2212;-0,0502;0,7188;0,2741;5,0629;12,8316;19,2212;0,0181;0,9700;0,2776;4,1337;4,6792;3,0240;0,0102;0,9697;0,3423;4,1337;4,6792;3,0240
9;6,132748;0,0024;-0,0005;-0,0005;0,01;2,85;1,08;0;-0,0217;0,0371;-7,9;2,13;-0,9;-0,0685;0,7280;0,2121;4,9102;12,7656;19,4382;-0,0501;0,7187;0,2741;4,9102;12,7656;19,4382;0,0180;0,9701;0,2777;4,1651;4,6329;2,9834;0,0100;0,9698;0,3424;4,1651;4,6329;2,9834
10;6,160369;-0,0002;0,0027;0,0012;-0,14;2,71;0,93;0;-0,0208;0,0264;-8,1;1,56;-0,66;-0,0683;0,7276;0,2123;4,8669;12,6919;19,5727;-0,0499;0,7184;0,2742;4,8669;12,6919;19,5727;0,0181;0,9699;0,2778;4,2547;4,6533;2,7461;0,0101;0,9697;0,3425;4,2547;4,6533;2,7461
11;6,188092;0,0005;-0,0017;-0,0017;-0,06;2,71;1,08;0;-0,0146;0,0347;-8,73;0,77;-0,12;-0,0683;0,7276;0,2125;4,8881;12,6432;19,7550;-0,0500;0,7183;0,2745;4,8881;12,6432;19,7550;0,0181;0,9697;0,2777;4,3058;4,6494;2,4033;0,0101;0,9696;0,3423;4,3058;4,6494;2,4033
