Frame;Time;Acc1X;Acc1Y;Acc1Z;Gy1X;Gy1Y;Gy1Z;Acc2X;Acc2Y;Acc2Z;Gy2X;Gy2Y;Gy2Z;WristLX;WristLY;WristLZ;WristLRotX;WristLRotY;WristLRotZ;PalmLX;PalmLY;PalmLZ;PalmLRotX;PalmLRotY;PalmLRotZ;WristRX;WristRY;WristRZ;WristRRotX;WristRRotY;WristRRotZ;PalmRX;PalmRY;PalmRZ;PalmRRotX;PalmRRotY;PalmRRotZ
1;5,29965;0,0017;-0,002;0,0017;-0,11;2,77;1,11;0;-0,0117;-0,0393;-7,15;-2,18;-0,42;-0,2087;0,7755;0,1120;3,0118;5,9323;14,5406;-0,1980;0,7680;0,1764;3,0118;5,9323;14,5406;0,0222;0,9658;0,2780;6,3531;5,4749;0,5361;0,0130;0,9681;0,3429;6,3531;5,4749;0,5361
2;5,327655;0,002;-0,0002;-0,0002;-0,21;2,55;1,07;0;-0,0193;-0,0295;-6,98;-0,72;-2,47;-0,2086;0,7759;0,1118;3,0455;5,9197;14,5108;-0,1979;0,7683;0,1761;3,0455;5,9197;14,5108;0,0216;0,9661;0,2776;6,3015;5,4903;0,5669;0,0124;0,9683;0,3426;6,3015;5,4903;0,5669
3;5,355349;-0,0024;-0,0007;0,0034;-0,11;2,66;1,08;0;-0,0125;-0,0208;-6,69;0,73;-2,68;-0,2084;0,7759;0,1117;3,1132;5,8706;14,4921;-0,1978;0,7682;0,1761;3,1132;5,8706;14,4921;0,0211;0,9663;0,2773;6,2746;5,4615;0,5811;0,0120;0,9685;0,3423;6,2746;5,4615;0,5811
4;5,383471;-0,0029;-0,0051;-0,0005;-0,11;2,73;1,21;0;-0,0154;-0,0229;-6,21;1,15;-2,95;-0,2083;0,7758;0,1116;3,2310;5,7692;14,5094;-0,1977;0,7680;0,1759;3,2310;5,7692;14,5094;0,0207;0,9661;0,2771;6,2612;5,4167;0,5247;0,0116;0,9683;0,3421;6,2612;5,4167;0,5247
5;5,411052;0,0015;0,0015;0,0034;0,11;2,57;1,25;0;-0,0134;-0,0369;-6,59;2,66;-3,79;-0,2084;0,7758;0,1118;3,2840;5,7449;14,4420;-0,1979;0,7680;0,1761;3,2840;5,7449;14,4420;0,0202;0,9663;0,2771;6,1892;5,3478;0,3785;0,0112;0,9684;0,3422;6,1892;5,3478;0,3785
6;5,439211;-0,0007;-0,0024;0,0054;0,02;2,86;1,17;0;-0,0107;-0,0361;-6,76;0,6;-2,66;-0,2086;0,7760;0,1117;3,3549;5,7433;14,3191;-0,1981;0,7680;0,1760;3,3549;5,7433;14,3191;0,0196;0,9665;0,2771;6,1712;5,3286;0,3292;0,0106;0,9686;0,3421;6,1712;5,3286;0,3292
7;5,466849;0;-0,0032;0,0061;-0,14;2,82;1,06;0;-0,0059;-0,0471;-7,64;-1,93;-1,71;-0,2087;0,7764;0,1116;3,4041;5,7626;14,2853;-0,1982;0,7684;0,1759;3,4041;5,7626;14,2853;0,0193;0,9665;0,2769;6,1885;5,3308;0,3200;0,0103;0,9686;0,3420;6,1885;5,3308;0,3200
8;5,494773;0,0007;-0,0012;0,0042;-0,17;2,66;1,08;0;-0,0022;-0,05;-8,84;-2,44;-0,59;-0,2087;0,7765;0,1116;3,4207;5,7390;14,2948;-0,1982;0,7685;0,1759;3,4207;5,7390;14,2948;0,0188;0,9666;0,2768;6,3005;5,3683;0,3629;0,0098;0,9688;0,3418;6,3005;5,3683;0,3629
9;5,523015;0,0034;-0,0027;0,0007;-0,02;2,74;1,18;0;-0,0098;-0,0437;-10,38;-0,47;0,07;-0,2085;0,7766;0,1115;3,4339;5,7393;14,3290;-0,1981;0,7685;0,1758;3,4339;5,7393;14,3290;0,0184;0,9666;0,2766;6,4555;5,4237;0,4078;0,0094;0,9690;0,3416;6,4555;5,4237;0,4078
10;5,550408;0,0029;-0,001;-0,0002;-0,16;2,69;1,16;0;-0,0142;-0,0374;-11,34;0,03;0,37;-0,2085;0,7764;0,1116;3,4504;5,7369;14,3779;-0,1981;0,7684;0,1759;3,4504;5,7369;14,3779;0,0182;0,9665;0,2764;6,4939;5,4786;0,5563;0,0091;0,9690;0,3413;6,4939;5,4786;0,5563
11;5,578233;0,0049;0,0015;0,0022;-0,08;2,69;1,18;0;-0,0125;-0,0366;-11,38;1,38;-0,85;-0,2087;0,7763;0,1116;3,5040;5,7567;14,3131;-0,1982;0,7682;0,1759;3,5040;5,7567;14,3131;0,0183;0,9666;0,2763;6,4714;5,4929;0,7444;0,0091;0,9690;0,3413;6,4714;5,4929;0,7444
12;5,606155;0,0024;0,0002;0,0024;-0,13;2,66;1,24;0;-0,0115;-0,0251;-11,47;3,17;-1,37;-0,2087;0,7762;0,1116;3,4758;5,7745;14,3211;-0,1982;0,7682;0,1759;3,4758;5,7745;14,3211;0,0183;0,9665;0,2763;6,4234;5,4545;0,8099;0,0091;0,9689;0,3413;6,4234;5,4545;0,8099
13;5,634136;-0,0037;-0,0044;-0,002;-0,05;2,73;1,34;0;-0,0137;-0,0205;-12,33;7,38;-3,74;-0,2086;0,7764;0,1114;3,4764;5,7959;14,4060;-0,1980;0,7683;0,1757;3,4764;5,7959;14,4060;0,0183;0,9665;0,2765;6,3584;5,3823;0,8488;0,0093;0,9689;0,3415;6,3584;5,3823;0,8488
14;5,662121;0;0,0002;0,0022;0,12;2,7;1,07;0;-0,0149;-0,022;-13,73;9,66;-5,18;-0,2087;0,7770;0,1112;3,5423;5,8014;14,4294;-0,1981;0,7688;0,1755;3,5423;5,8014;14,4294;0,0182;0,9664;0,2765;6,3516;5,3502;0,9009;0,0092;0,9687;0,3415;6,3516;5,3502;0,9009
15;5,689758;-0,0005;-0,0022;0,0061;-0,11;2,85;1,18;0;-0,0034;-0,002;-12,54;15,4;-5,84;-0,2085;0,7774;0,1112;3,6233;5,7574;14,5249;-0,1979;0,7691;0,1755;3,6233;5,7574;14,5249;0,0184;0,9661;0,2769;6,3293;5,3305;1,1438;0,0094;0,9684;0,3419;6,3293;5,3305;1,1438
16;5,717504;0,0012;0,001;0,0024;-0,06;2,66;1,17;0;0,0027;0,0083;-12,49;18,24;-6,54;-0,2082;0,7776;0,1110;3,7788;5,6138;14,8698;-0,1978;0,7692;0,1753;3,7788;5,6138;14,8698;0,0188;0,9658;0,2772;6,3147;5,3484;1,7507;0,0097;0,9681;0,3422;6,3147;5,3484;1,7507
17;5,745309;-0,002;-0,0017;-0,0024;-0,05;2,71;1,26;0;0,0032;0,011;-12,76;19,63;-6,81;-0,2081;0,7773;0,1110;3,7500;5,5418;14,9290;-0,1978;0,7689;0,1753;3,7500;5,5418;14,9290;0,0190;0,9654;0,2780;6,2763;5,3083;3,8088;0,0097;0,9678;0,3430;6,2763;5,3083;3,8088
18;5,773483;-0,0024;-0,0029;0,0039;-0,03;2,81;1,08;0;0,0024;0,0403;-12,44;22,02;-5,56;-0,2081;0,7769;0,1109;3,7151;5,5519;14,8970;-0,1978;0,7686;0,1752;3,7151;5,5519;14,8970;0,0191;0,9657;0,2786;7,0503;5,1013;6,4384;0,0099;0,9691;0,3435;7,0503;5,1013;6,4384
19;5,800996;0,0002;-0,0015;0,0007;-0,09;2,66;1,08;0;0,0034;0,0293;-12,08;21,47;-4,87;-0,2082;0,7767;0,1108;3,6530;5,5755;14,8556;-0,1979;0,7685;0,1752;3,6530;5,5755;14,8556;0,0195;0,9654;0,2807;8,0371;5,0694;9,5443;0,0101;0,9702;0,3455;8,0371;5,0694;9,5443
20;5,829236;-0,001;-0,0012;0,0029;-0,12;2,87;1,13;0;0,0125;0,0352;-12,49;21,85;-5,63;-0,2083;0,7767;0,1109;3,6153;5,6081;14,8686;-0,1979;0,7685;0,1752;3,6153;5,6081;14,8686;0,0199;0,9657;0,2815;8,9710;4,6479;11,9549;0,0108;0,9717;0,3463;8,9710;4,6479;11,9549
21;5,856869;0,0034;-0,0029;0,001;0,02;2,67;1,27;0;-0,0012;0,0713;-9,63;16,64;-4,97;-0,2085;0,7769;0,1110;3,6696;5,5960;14,9421;-0,1981;0,7686;0,1753;3,6696;5,5960;14,9421;0,0198;0,9656;0,2824;9,4028;4,3329;14,6259;0,0109;0,9722;0,3471;9,4028;4,3329;14,6259
22;5,88472;0,0002;-0,0012;0,0029;-0,07;2,68;1,27;0;0,0042;0,0618;-9,07;11,9;-4,62;-0,2086;0,7765;0,1109;3,6329;5,6087;14,9602;-0,1982;0,7683;0,1752;3,6329;5,6087;14,9602;0,0193;0,9657;0,2831;8,9916;3,8765;16,9171;0,0108;0,9720;0,3479;8,9916;3,8765;16,9171
23;5,912437;0,0027;-0,0046;0,0027;-0,07;2,63;1,32;0;0,0088;0,0623;-7,95;6,34;-4,15;-0,2087;0,7762;0,1110;3,6076;5,5992;14,9459;-0,1984;0,7680;0,1753;3,6076;5,5992;14,9459;0,0187;0,9661;0,2836;8,7321;3,6694;17,2034;0,0103;0,9721;0,3485;8,7321;3,6694;17,2034
24;5,940393;0,0029;-0,0027;0,002;-0,02;2,82;0,87;0;0,0093;0,0718;-8,07;6,69;-4,24;-0,2088;0,7762;0,1110;3,5899;5,5848;14,9705;-0,1984;0,7680;0,1753;3,5899;5,5848;14,9705;0,0183;0,9665;0,2837;8,7000;3,5356;17,4673;0,0100;0,9725;0,3486;8,7000;3,5356;17,4673
25;5,968467;0,0051;-0,0056;0,0022;0;2,75;1,07;0;0,0103;0,0615;-10,16;9,91;-6,21;-0,2087;0,7765;0,1109;3,5630;5,5717;14,9952;-0,1984;0,7684;0,1753;3,5630;5,5717;14,9952;0,0177;0,9669;0,2841;8,8298;3,4453;17,7517;0,0096;0,9730;0,3490;8,8298;3,4453;17,7517
26;5,995836;0,0024;-0,0037;-0,0002;-0,03;2,74;1,11;0;0,0115;0,0645;-11,41;14,64;-6,84;-0,2087;0,7768;0,1108;3,5943;5,5792;14,9957;-0,1983;0,7686;0,1751;3,5943;5,5792;14,9957;0,0172;0,9665;0,2851;9,2743;3,3763;18,4059;0,0092;0,9732;0,3500;9,2743;3,3763;18,4059
27;6,023914;-0,0027;0,0015;0,0039;-0,08;2,73;1,06;0;0,0142;0,0854;-12,15;17,85;-6,72;-0,2086;0,7768;0,1109;3,5875;5,5820;14,9918;-0,1982;0,7686;0,1752;3,5875;5,5820;14,9918;0,0170;0,9664;0,2851;9,6661;2,8916;19,3909;0,0094;0,9735;0,3500;9,6661;2,8916;19,3909
28;6,051742;-0,0002;0,0012;0,0027;0,01;2,8;1,14;0;0,0256;0,0969;-12,88;18,85;-6,95;-0,2085;0,7767;0,1109;3,5753;5,5630;14,9802;-0,1982;0,7685;0,1753;3,5753;5,5630;14,9802;0,0168;0,9662;0,2849;10,0170;2,4955;20,7622;0,0096;0,9739;0,3499;10,0170;2,4955;20,7622
29;6,079675;0,0024;-0,0042;0,001;-0,07;2,71;1,18;0;0,0188;0,0857;-13,57;21,37;-7,25;-0,2084;0,7767;0,1108;3,5372;5,5568;14,9710;-0,1980;0,7685;0,1751;3,5372;5,5568;14,9710;0,0166;0,9663;0,2847;10,4355;2,0433;22,2657;0,0098;0,9745;0,3496;10,4355;2,0433;22,2657
