Frame;Time;Acc1X;Acc1Y;Acc1Z;Gy1X;Gy1Y;Gy1Z;Acc2X;Acc2Y;Acc2Z;Gy2X;Gy2Y;Gy2Z;WristLX;WristLY;WristLZ;WristLRotX;WristLRotY;WristLRotZ;PalmLX;PalmLY;PalmLZ;PalmLRotX;PalmLRotY;PalmLRotZ;WristRX;WristRY;WristRZ;WristRRotX;WristRRotY;WristRRotZ;PalmRX;PalmRY;PalmRZ;PalmRRotX;PalmRRotY;PalmRRotZ
1;5,313274;0,0015;0;0,0029;-0,05;2,79;1,08;-0,0657;0,0347;-0,0918;-9,15;-2,9;-2,55;-0,1555;0,7600;0,1758;1,2665;4,4503;6,0702;-0,1472;0,7569;0,2389;1,2665;4,4503;6,0702;0,0166;0,9684;0,2636;5,6703;1,7268;1,2560;0,0120;0,9698;0,3274;5,6703;1,7268;1,2560
2;5,341001;-0,0063;0,0012;-0,0024;-0,06;2,56;1,21;-0,0605;0,0344;-0,0955;-9,34;-0,56;-0,4;-0,1568;0,7562;0,1760;1,2860;3,3952;8,8890;-0,1496;0,7533;0,2393;1,2860;3,3952;8,8890;0,0183;0,9681;0,2635;4,8961;3,0880;0,6402;0,0123;0,9685;0,3273;4,8961;3,0880;0,6402
3;5,369231;0;0,0029;0,001;-0,17;2,83;1,06;-0,0657;0,0486;-0,0771;-10,49;0,98;0,13;-0,1568;0,7563;0,1761;1,2737;3,4087;8,9072;-0,1495;0,7534;0,2395;1,2737;3,4087;8,9072;0,0185;0,9681;0,2636;4,5904;3,4263;0,5280;0,0121;0,9682;0,3273;4,5904;3,4263;0,5280
4;5,396702;0,0027;-0,002;0,001;0,05;2,7;1,18;-0,063;0,0454;-0,0664;-9,9;-1,59;1,14;-0,1567;0,7564;0,1764;1,2407;3,4063;8,8333;-0,1494;0,7534;0,2398;1,2407;3,4063;8,8333;0,0187;0,9681;0,2639;4,3911;3,5674;0,4124;0,0122;0,9679;0,3276;4,3911;3,5674;0,4124
5;5,424714;-0,0044;-0,0029;0,0037;-0,2;2,79;1,11;-0,052;0,0493;-0,0691;-9,53;-2,7;1,73;-0,1568;0,7565;0,1764;1,0964;3,4461;8,5591;-0,1495;0,7533;0,2397;1,0964;3,4461;8,5591;0,0188;0,9683;0,2641;4,2270;3,6210;0,2359;0,0122;0,9680;0,3278;4,2270;3,6210;0,2359
6;5,452681;-0,0024;0,001;0,0015;-0,05;2,73;1,16;-0,0471;0,0464;-0,073;-9,18;-0,82;1,39;-0,1568;0,7564;0,1766;1,0675;3,4689;8,3552;-0,1495;0,7532;0,2400;1,0675;3,4689;8,3552;0,0190;0,9687;0,2643;4,1588;3,6578;0,1125;0,0124;0,9682;0,3280;4,1588;3,6578;0,1125
7;5,480324;-0,0039;0,0007;0,0007;-0,11;2,76;1,15;-0,0391;0,0474;-0,0774;-9,18;-0,02;0,15;-0,1569;0,7562;0,1767;1,3070;3,4088;8,4325;-0,1496;0,7532;0,2401;1,3070;3,4088;8,4325;0,0191;0,9689;0,2647;4,1247;3,6674;0,0602;0,0125;0,9685;0,3285;4,1247;3,6674;0,0602
8;5,508174;-0,001;0,0017;0,0005;-0,24;2,68;1,09;-0,0466;0,0347;-0,0669;-8,16;-1,18;-1,24;-0,1566;0,7561;0,1768;1,3717;3,3856;8,4029;-0,1494;0,7532;0,2402;1,3717;3,3856;8,4029;0,0192;0,9692;0,2649;4,1298;3,6714;0,0550;0,0126;0,9688;0,3286;4,1298;3,6714;0,0550
9;5,536177;-0,0034;-0,0022;0,0015;-0,06;2,82;1,25;-0,0398;0,0347;-0,0718;-7,2;-2,93;-1,69;-0,1564;0,7560;0,1768;1,3695;3,3706;8,3708;-0,1493;0,7531;0,2402;1,3695;3,3706;8,3708;0,0192;0,9692;0,2648;4,1534;3,7340;0,0354;0,0125;0,9688;0,3285;4,1534;3,7340;0,0354
10;5,564009;-0,0032;-0,0002;0,0037;-0,14;2,74;1,2;-0,0391;0,0537;-0,0757;-7,66;0,06;-2,18;-0,1564;0,7561;0,1768;1,3676;3,3516;8,3221;-0,1493;0,7532;0,2402;1,3676;3,3516;8,3221;0,0192;0,9693;0,2645;4,1185;3,8024;0,0291;0,0124;0,9688;0,3283;4,1185;3,8024;0,0291
