Frame;Time;Acc1X;Acc1Y;Acc1Z;Gy1X;Gy1Y;Gy1Z;Acc2X;Acc2Y;Acc2Z;Gy2X;Gy2Y;Gy2Z;WristLX;WristLY;WristLZ;WristLRotX;WristLRotY;WristLRotZ;PalmLX;PalmLY;PalmLZ;PalmLRotX;PalmLRotY;PalmLRotZ;WristRX;WristRY;WristRZ;WristRRotX;WristRRotY;WristRRotZ;PalmRX;PalmRY;PalmRZ;PalmRRotX;PalmRRotY;PalmRRotZ
1;4,64756;0;0;0;0;0;0;-0,3217;-0,842;-0,938;-8,44;3,47;2,61;0,0000;-0,0196;0,0460;60,0000;0,0000;0,0000;0,0011;-0,0794;0,0736;60,0000;0,0000;0,0000;0,0187;0,9787;0,2737;3,0951;-7,2207;7,2960;0,0083;0,9702;0,3370;3,0951;-7,2207;7,2960
2;4,675609;0;0;0;0;0;0;-0,3217;-0,842;-0,938;-8,44;3,47;2,61;0,0000;-0,0196;0,0460;60,0000;0,0000;0,0000;0,0011;-0,0794;0,0736;60,0000;0,0000;0,0000;0,0185;0,9781;0,2752;3,2328;-7,0561;7,5377;0,0083;0,9694;0,3384;3,2328;-7,0561;7,5377
3;4,702788;0;0;0;0;0;0;-0,3217;-0,842;-0,938;-8,44;3,47;2,61;0,0000;-0,0196;0,0460;60,0000;0,0000;0,0000;0,0011;-0,0794;0,0736;60,0000;0,0000;0,0000;0,0191;0,9764;0,2761;3,1859;-6,9912;7,4974;0,0090;0,9677;0,3394;3,1859;-6,9912;7,4974
4;4,730807;0;0;0;0;0;0;-0,3217;-0,842;-0,938;-8,44;3,47;2,61;0,0000;-0,0196;0,0460;60,0000;0,0000;0,0000;0,0011;-0,0794;0,0736;60,0000;0,0000;0,0000;0,0197;0,9757;0,2771;3,1019;-6,9457;7,4873;0,0096;0,9671;0,3404;3,1019;-6,9457;7,4873
5;4,758412;0;0;0;0;0;0;-0,3217;-0,842;-0,938;-8,44;3,47;2,61;0,0000;-0,0196;0,0460;60,0000;0,0000;0,0000;0,0011;-0,0794;0,0736;60,0000;0,0000;0,0000;0,0205;0,9751;0,2778;2,9952;-6,8658;7,5172;0,0105;0,9667;0,3412;2,9952;-6,8658;7,5172
6;4,786727;0;0;0;0;0;0;-0,3217;-0,842;-0,938;-8,44;3,47;2,61;0,0000;-0,0196;0,0460;60,0000;0,0000;0,0000;0,0011;-0,0794;0,0736;60,0000;0,0000;0,0000;0,0212;0,9750;0,2782;2,8978;-6,8214;7,4746;0,0112;0,9667;0,3415;2,8978;-6,8214;7,4746
7;4,814335;0;0;0;0;0;0;-0,3217;-0,842;-0,938;-8,44;3,47;2,61;0,0000;-0,0196;0,0460;60,0000;0,0000;0,0000;0,0011;-0,0794;0,0736;60,0000;0,0000;0,0000;0,0224;0,9750;0,2781;2,3460;-6,8376;7,4794;0,0124;0,9673;0,3415;2,3460;-6,8376;7,4794
8;4,842136;0;0;0;0;0;0;-0,3217;-0,842;-0,938;-8,44;3,47;2,61;0,0000;-0,0196;0,0460;60,0000;0,0000;0,0000;0,0011;-0,0794;0,0736;60,0000;0,0000;0,0000;0,0238;0,9747;0,2778;1,3855;-6,8826;7,3198;0,0137;0,9681;0,3413;1,3855;-6,8826;7,3198
9;4,869809;0;0;0;0;0;0;-0,3217;-0,842;-0,938;-8,44;3,47;2,61;0,0000;-0,0196;0,0460;60,0000;0,0000;0,0000;0,0011;-0,0794;0,0736;60,0000;0,0000;0,0000;0,0242;0,9744;0,2775;0,8882;-7,0215;7,2988;0,0139;0,9683;0,3411;0,8882;-7,0215;7,2988
10;4,897737;0;0;0;0;0;0;-0,3217;-0,842;-0,938;-8,44;3,47;2,61;0,0000;-0,0196;0,0460;60,0000;0,0000;0,0000;0,0011;-0,0794;0,0736;60,0000;0,0000;0,0000;0,0244;0,9745;0,2773;0,6565;-7,0572;7,2766;0,0140;0,9687;0,3409;0,6565;-7,0572;7,2766
