Frame;Time;Acc1X;Acc1Y;Acc1Z;Gy1X;Gy1Y;Gy1Z;Acc2X;Acc2Y;Acc2Z;Gy2X;Gy2Y;Gy2Z;WristLX;WristLY;WristLZ;WristLRotX;WristLRotY;WristLRotZ;PalmLX;PalmLY;PalmLZ;PalmLRotX;PalmLRotY;PalmLRotZ;WristRX;WristRY;WristRZ;WristRRotX;WristRRotY;WristRRotZ;PalmRX;PalmRY;PalmRZ;PalmRRotX;PalmRRotY;PalmRRotZ
1;6,800992;0,0466;-0,0273;0,0264;-0,05;2,54;1,12;0,3515;-0,2671;1,1919;-3,46;9,53;-4,63;-0,1836;0,6604;-0,0498;2,2555;40,7319;46,1318;-0,1356;0,6548;-0,0023;2,2555;40,7319;46,1318;0,0151;0,9763;0,2697;-1,5344;-2,3374;4,9869;0,0102;0,9726;0,3366;-1,5344;-2,3374;4,9869
2;6,828929;0,0481;-0,0291;0,0273;0,03;2,66;1,19;0,3515;-0,2637;1,2017;-1,44;3,24;-3,85;-0,1815;0,6552;-0,0512;0,9938;38,3711;44,2656;-0,1355;0,6509;-0,0016;0,9938;38,3711;44,2656;0,0158;0,9770;0,2681;-1,5855;-2,3631;4,9268;0,0108;0,9734;0,3350;-1,5855;-2,3631;4,9268
3;6,856628;0,0496;-0,0271;0,0242;-0,06;2,64;1,3;0,3515;-0,24;1,209;-0,03;1,97;-1,35;-0,1810;0,6524;-0,0527;-0,6355;35,6081;42,0806;-0,1374;0,6499;-0,0008;-0,6355;35,6081;42,0806;0,0174;0,9779;0,2659;-1,6951;-2,4079;4,7956;0,0124;0,9744;0,3328;-1,6951;-2,4079;4,7956
4;6,884524;0,0449;-0,0261;0,0254;-0,07;2,5;1,09;0,3515;-0,2104;1,2083;1,71;1,02;0,35;-0,1761;0,6331;-0,0575;-4,9515;31,1786;38,0648;-0,1369;0,6354;-0,0024;-4,9515;31,1786;38,0648;0,0180;0,9775;0,2654;-2,1032;-2,6385;4,5155;0,0127;0,9745;0,3323;-2,1032;-2,6385;4,5155
5;6,912498;0,0417;-0,0264;0,0273;-0,05;2,63;1,27;0,3515;-0,2029;1,2112;2,78;0,35;1,55;-0,1773;0,6254;-0,0586;-3,0069;30,6306;37,8126;-0,1385;0,6255;-0,0031;-3,0069;30,6306;37,8126;0,0194;0,9777;0,2638;-2,6078;-2,9359;4,1121;0,0136;0,9752;0,3306;-2,6078;-2,9359;4,1121
6;6,940065;0,0439;-0,0261;0,0276;-0,13;2,59;1,23;0,3515;-0,1978;1,2109;5,05;1,89;-0,31;-0,1775;0,6247;-0,0579;-1,1166;31,4864;38,8741;-0,1379;0,6228;-0,0031;-1,1166;31,4864;38,8741;0,0206;0,9779;0,2626;-2,7611;-3,0444;3,8512;0,0147;0,9756;0,3295;-2,7611;-3,0444;3,8512
7;6,968937;0,0464;-0,0249;0,0254;-0,08;2,69;1,2;0,3515;-0,2039;1,2141;5,58;11,34;-2,11;-0,1774;0,6271;-0,0564;-0,3280;32,8969;40,8371;-0,1364;0,6244;-0,0028;-0,3280;32,8969;40,8371;0,0217;0,9793;0,2596;-2,8444;-3,3846;3,7284;0,0154;0,9772;0,3264;-2,8444;-3,3846;3,7284
8;6,995939;0,0488;-0,0276;0,0247;0,05;2,57;1,23;0,3515;-0,2251;1,21;6,04;13,91;-2,62;-0,1777;0,6299;-0,0536;-0,7671;33,6537;41,3309;-0,1360;0,6278;-0,0005;-0,7671;33,6537;41,3309;0,0229;0,9803;0,2588;-3,4831;-3,9986;3,3639;0,0159;0,9789;0,3256;-3,4831;-3,9986;3,3639
9;7,023678;0,043;-0,0288;0,0271;0,18;2,49;1,14;0,3515;-0,25;1,2053;7,4;14,18;-3,73;-0,1772;0,6316;-0,0511;-1,3823;34,1080;41,4755;-0,1350;0,6303;0,0017;-1,3823;34,1080;41,4755;0,0233;0,9807;0,2574;-4,1684;-4,3384;3,1635;0,0159;0,9801;0,3242;-4,1684;-4,3384;3,1635
10;7,05147;0,0471;-0,0278;0,0266;-0,07;2,72;1,2;0,3515;-0,2446;1,2002;7,22;17,9;-2,32;-0,1770;0,6323;-0,0499;-1,7598;34,2636;41,4514;-0,1347;0,6314;0,0028;-1,7598;34,2636;41,4514;0,0230;0,9810;0,2562;-4,4164;-4,3309;3,2947;0,0156;0,9807;0,3230;-4,4164;-4,3309;3,2947
