Frame;Time;Acc1X;Acc1Y;Acc1Z;Gy1X;Gy1Y;Gy1Z;Acc2X;Acc2Y;Acc2Z;Gy2X;Gy2Y;Gy2Z;WristLX;WristLY;WristLZ;WristLRotX;WristLRotY;WristLRotZ;PalmLX;PalmLY;PalmLZ;PalmLRotX;PalmLRotY;PalmLRotZ;WristRX;WristRY;WristRZ;WristRRotX;WristRRotY;WristRRotZ;PalmRX;PalmRY;PalmRZ;PalmRRotX;PalmRRotY;PalmRRotZ
1;4,585042;0;0;0;0;0;0;-0,3217;-0,842;-0,938;-8,44;3,47;2,61;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0022;-0,0054;0,0653;0,0000;0,0000;0,0000;0,0183;0,9738;0,2741;-3,6266;-4,4576;7,6198;0,0114;0,9726;0,3365;-3,6266;-4,4576;7,6198
2;4,612723;0;0;0;0;0;0;-0,3217;-0,842;-0,938;-8,44;3,47;2,61;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0022;-0,0054;0,0653;0,0000;0,0000;0,0000;0,0184;0,9733;0,2745;-3,4495;-4,5599;7,8920;0,0114;0,9720;0,3369;-3,4495;-4,5599;7,8920
3;4,641059;0;0;0;0;0;0;-0,3217;-0,842;-0,938;-8,44;3,47;2,61;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0022;-0,0054;0,0653;0,0000;0,0000;0,0000;0,0190;0,9722;0,2750;-3,4999;-4,6981;8,1000;0,0119;0,9709;0,3374;-3,4999;-4,6981;8,1000
4;4,668414;0;0;0;0;0;0;-0,3217;-0,842;-0,938;-8,44;3,47;2,61;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0022;-0,0054;0,0653;0,0000;0,0000;0,0000;0,0193;0,9714;0,2754;-3,6215;-4,8861;8,2871;0,0120;0,9702;0,3377;-3,6215;-4,8861;8,2871
5;4,696366;0;0;0;0;0;0;-0,3217;-0,842;-0,938;-8,44;3,47;2,61;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0022;-0,0054;0,0653;0,0000;0,0000;0,0000;0,0193;0,9713;0,2752;-3,6906;-4,9434;8,3580;0,0120;0,9702;0,3376;-3,6906;-4,9434;8,3580
6;4,724143;0;0;0;0;0;0;-0,3217;-0,842;-0,938;-8,44;3,47;2,61;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0022;-0,0054;0,0653;0,0000;0,0000;0,0000;0,0194;0,9710;0,2753;-3,7066;-4,9200;8,3598;0,0121;0,9699;0,3377;-3,7066;-4,9200;8,3598
7;4,75191;0;0;0;0;0;0;-0,3217;-0,842;-0,938;-8,44;3,47;2,61;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0022;-0,0054;0,0653;0,0000;0,0000;0,0000;0,0195;0,9705;0,2753;-3,7247;-4,8608;8,3088;0,0123;0,9694;0,3378;-3,7247;-4,8608;8,3088
8;4,779933;0;0;0;0;0;0;-0,3217;-0,842;-0,938;-8,44;3,47;2,61;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0022;-0,0054;0,0653;0,0000;0,0000;0,0000;0,0199;0,9699;0,2755;-3,7819;-4,7376;8,1191;0,0127;0,9688;0,3380;-3,7819;-4,7376;8,1191
9;4,807702;0;0;0;0;0;0;-0,3217;-0,842;-0,938;-8,44;3,47;2,61;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0022;-0,0054;0,0653;0,0000;0,0000;0,0000;0,0201;0,9697;0,2756;-3,8237;-4,7321;8,0893;0,0130;0,9687;0,3381;-3,8237;-4,7321;8,0893
10;4,835382;0;0;0;0;0;0;-0,3217;-0,842;-0,938;-8,44;3,47;2,61;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0022;-0,0054;0,0653;0,0000;0,0000;0,0000;0,0203;0,9692;0,2758;-3,9087;-4,6682;7,9481;0,0132;0,9683;0,3382;-3,9087;-4,6682;7,9481
11;4,863475;0;0;0;0;0;0;-0,3217;-0,842;-0,938;-8,44;3,47;2,61;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0022;-0,0054;0,0653;0,0000;0,0000;0,0000;0,0204;0,9693;0,2759;-4,0675;-4,6748;7,6149;0,0133;0,9686;0,3384;-4,0675;-4,6748;7,6149
12;4,891328;0;0;0;0;0;0;-0,3217;-0,842;-0,938;-8,44;3,47;2,61;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0022;-0,0054;0,0653;0,0000;0,0000;0,0000;0,0205;0,9698;0,2765;-4,2686;-4,6634;7,3733;0,0134;0,9693;0,3389;-4,2686;-4,6634;7,3733
13;4,91916;0;0;0;0;0;0;-0,3217;-0,842;-0,938;-8,44;3,47;2,61;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0022;-0,0054;0,0653;0,0000;0,0000;0,0000;0,0209;0,9704;0,2769;-5,2356;-4,4694;6,4197;0,0139;0,9710;0,3394;-5,2356;-4,4694;6,4197
