Frame;Time;Acc1X;Acc1Y;Acc1Z;Gy1X;Gy1Y;Gy1Z;Acc2X;Acc2Y;Acc2Z;Gy2X;Gy2Y;Gy2Z;WristLX;WristLY;WristLZ;WristLRotX;WristLRotY;WristLRotZ;PalmLX;PalmLY;PalmLZ;PalmLRotX;PalmLRotY;PalmLRotZ;WristRX;WristRY;WristRZ;WristRRotX;WristRRotY;WristRRotZ;PalmRX;PalmRY;PalmRZ;PalmRRotX;PalmRRotY;PalmRRotZ
1;5,442426;-0,0024;0,0017;-0,002;-0,21;2,69;1,2;0;0,0007;0,0969;-11,9;6,75;-3,38;-0,1801;0,7809;0,1699;4,6877;10,2483;17,3862;-0,1647;0,7719;0,2321;4,6877;10,2483;17,3862;0,0119;0,9685;0,2707;6,3191;0,0548;12,9842;0,0083;0,9711;0,3355;6,3191;0,0548;12,9842
2;5,470313;-0,0039;-0,0049;-0,0017;0,01;2,7;1,11;0;-0,0022;0,084;-12,96;10,57;-5;-0,1802;0,7810;0,1699;4,6491;10,2719;17,3935;-0,1647;0,7720;0,2320;4,6491;10,2719;17,3935;0,0122;0,9686;0,2706;6,3364;0,0476;12,7077;0,0086;0,9712;0,3355;6,3364;0,0476;12,7077
3;5,498183;-0,0002;-0,0015;-0,0022;-0,28;2,75;0,94;0;-0,0095;0,0632;-12,08;11,69;-5,61;-0,1802;0,7809;0,1697;4,6461;10,2866;17,3656;-0,1647;0,7719;0,2319;4,6461;10,2866;17,3656;0,0124;0,9684;0,2705;6,2906;0,1375;12,5466;0,0087;0,9710;0,3354;6,2906;0,1375;12,5466
4;5,52599;-0,0044;0,0027;-0,0002;0,04;2,7;1,15;0;-0,0083;0,0686;-10,66;-1,53;1,47;-0,1802;0,7810;0,1697;4,6685;10,3199;17,3792;-0,1647;0,7720;0,2319;4,6685;10,3199;17,3792;0,0125;0,9685;0,2701;6,1313;0,2317;12,5241;0,0087;0,9709;0,3349;6,1313;0,2317;12,5241
5;5,553839;-0,0059;0,0017;0,001;-0,21;2,89;1,26;0;-0,0037;0,0657;-8,76;-8,63;4,4;-0,1804;0,7811;0,1697;4,6689;10,3479;17,4208;-0,1648;0,7720;0,2319;4,6689;10,3479;17,4208;0,0128;0,9684;0,2696;5,9403;0,4272;12,4524;0,0088;0,9706;0,3345;5,9403;0,4272;12,4524
6;5,58168;-0,0037;-0,002;0,001;-0,05;2,75;1,24;0;-0,0042;0,0505;-8,62;-7,24;1,07;-0,1807;0,7810;0,1696;4,6353;10,3420;17,4164;-0,1651;0,7719;0,2317;4,6353;10,3420;17,4164;0,0131;0,9681;0,2694;5,6842;0,6368;12,1128;0,0088;0,9700;0,3343;5,6842;0,6368;12,1128
7;5,609596;-0,001;0,0007;0,0037;-0,03;2,63;0,95;0;-0,0007;0,0605;-9,19;0,37;-2,21;-0,1805;0,7809;0,1696;4,6023;10,3308;17,3739;-0,1649;0,7720;0,2317;4,6023;10,3308;17,3739;0,0130;0,9682;0,2694;5,1786;0,6847;11,3765;0,0088;0,9694;0,3342;5,1786;0,6847;11,3765
8;5,63729;-0,0037;0,0012;0,0022;-0,05;2,6;1,03;0;-0,0071;0,071;-6,75;0,21;-2,89;-0,1804;0,7807;0,1697;4,6002;10,3019;17,3626;-0,1648;0,7717;0,2319;4,6002;10,3019;17,3626;0,0130;0,9682;0,2696;4,8999;0,5470;11,0394;0,0090;0,9691;0,3345;4,8999;0,5470;11,0394
9;5,665345;-0,0032;0,0042;-0,0015;-0,05;2,6;1,22;0;-0,0076;0,0684;-6,65;-8,54;0,6;-0,1804;0,7805;0,1698;4,6022;10,2789;17,4094;-0,1649;0,7715;0,2320;4,6022;10,2789;17,4094;0,0130;0,9682;0,2697;4,8480;0,5464;10,9599;0,0090;0,9690;0,3346;4,8480;0,5464;10,9599
10;5,693154;-0,0015;0,0007;-0,0015;-0,08;2,75;1,21;0;-0,0164;0,0581;-6,69;-14,61;3,05;-0,1804;0,7803;0,1699;4,5956;10,2774;17,4146;-0,1649;0,7713;0,2321;4,5956;10,2774;17,4146;0,0131;0,9681;0,2698;4,8077;0,5278;10,9441;0,0091;0,9689;0,3347;4,8077;0,5278;10,9441
