Frame;Time;Acc1X;Acc1Y;Acc1Z;Gy1X;Gy1Y;Gy1Z;Acc2X;Acc2Y;Acc2Z;Gy2X;Gy2Y;Gy2Z;WristLX;WristLY;WristLZ;WristLRotX;WristLRotY;WristLRotZ;PalmLX;PalmLY;PalmLZ;PalmLRotX;PalmLRotY;PalmLRotZ;WristRX;WristRY;WristRZ;WristRRotX;WristRRotY;WristRRotZ;PalmRX;PalmRY;PalmRZ;PalmRRotX;PalmRRotY;PalmRRotZ
1;5,42777;-0,0056;-0,0007;0,002;0;2,68;1,27;-0,0024;0,0305;0,0066;-4,88;-9,6;-0,26;-0,1352;0,7521;0,1254;1,3976;9,3980;13,7721;-0,1210;0,7458;0,1892;1,3976;9,3980;13,7721;0,0221;0,9665;0,2731;4,6406;4,6357;3,1740;0,0139;0,9668;0,3380;4,6406;4,6357;3,1740
2;5,45562;-0,0002;-0,0034;0,0027;0,15;2,69;1,28;0,0181;0,0239;-0,0247;-3,9;-14,31;-0,34;-0,1353;0,7521;0,1252;1,3623;9,3942;13,8048;-0,1212;0,7459;0,1891;1,3623;9,3942;13,8048;0,0214;0,9665;0,2730;4,5183;4,0956;3,4445;0,0138;0,9666;0,3380;4,5183;4,0956;3,4445
3;5,486749;-0,001;-0,001;0,0002;-0,11;2,66;1,08;0,0342;0,0308;-0,019;-4,21;0,82;0,5;-0,1353;0,7522;0,1254;1,4327;9,3613;13,9377;-0,1212;0,7458;0,1892;1,4327;9,3613;13,9377;0,0209;0,9666;0,2725;4,5010;3,6058;3,7805;0,0138;0,9667;0,3376;4,5010;3,6058;3,7805
4;5,514546;-0,0039;-0,0032;0,0002;-0,05;2,74;1,2;0,0334;0,0396;0,0039;-5,8;4,85;0,53;-0,1354;0,7519;0,1254;1,4249;9,4052;13,9791;-0,1212;0,7456;0,1892;1,4249;9,4052;13,9791;0,0207;0,9665;0,2725;4,3716;3,3438;3,7381;0,0139;0,9666;0,3376;4,3716;3,3438;3,7381
5;5,546156;-0,0015;-0,0024;0;-0,18;2,7;1,09;0,0237;0,0222;-0,0105;-6,8;3,25;-0,08;-0,1354;0,7518;0,1254;1,4143;9,4349;13,9810;-0,1212;0,7454;0,1892;1,4143;9,4349;13,9810;0,0204;0,9664;0,2724;4,2874;3,1597;3,6726;0,0139;0,9663;0,3375;4,2874;3,1597;3,6726
6;5,581346;-0,0046;0,0029;0,0024;0,07;2,78;1,11;0,0217;0,009;-0,0068;-7,55;0,74;-0,38;-0,1356;0,7519;0,1253;1,3994;9,4042;13,9843;-0,1214;0,7456;0,1891;1,3994;9,4042;13,9843;0,0200;0,9661;0,2723;4,4083;3,1174;3,7442;0,0136;0,9662;0,3375;4,4083;3,1174;3,7442
7;5,608843;-0,0002;0,0051;0;0,03;2,77;1,12;0,0256;0,0105;-0,0056;-7,8;-4,98;0,18;-0,1355;0,7518;0,1253;1,3945;9,3820;14,0898;-0,1213;0,7455;0,1891;1,3945;9,3820;14,0898;0,0199;0,9659;0,2724;4,4972;3,0851;3,8265;0,0135;0,9660;0,3376;4,4972;3,0851;3,8265
8;5,636654;-0,0029;0,0024;0,002;-0,08;2,69;1,03;0,0283;0,0139;-0,0098;-8,06;-3,37;1,05;-0,1355;0,7515;0,1253;1,3201;9,3916;14,2444;-0,1213;0,7453;0,1892;1,3201;9,3916;14,2444;0,0196;0,9657;0,2722;4,7160;3,0614;3,9678;0,0133;0,9661;0,3374;4,7160;3,0614;3,9678
9;5,664594;-0,0046;0,0037;-0,0005;-0,18;2,67;1;0,012;0,0215;-0,0088;-8,53;-0,97;-0,51;-0,1356;0,7512;0,1254;1,1029;9,3886;14,3742;-0,1215;0,7453;0,1893;1,1029;9,3886;14,3742;0,0192;0,9653;0,2724;4,8911;2,9910;4,1650;0,0129;0,9658;0,3376;4,8911;2,9910;4,1650
10;5,692562;-0,002;-0,0059;-0,0037;-0,05;2,58;0,99;0,0144;0,0149;0,0066;-7,95;1,13;-0,92;-0,1356;0,7510;0,1254;1,0214;9,4351;14,3338;-0,1214;0,7452;0,1892;1,0214;9,4351;14,3338;0,0187;0,9654;0,2723;4,8823;2,9274;4,1954;0,0126;0,9659;0,3376;4,8823;2,9274;4,1954
11;5,720245;-0,0022;0,0032;0;0,02;2,95;1,06;0,0063;0,0044;0,0044;-7,36;-1,41;-0,37;-0,1356;0,7511;0,1254;1,0436;9,4496;14,1690;-0,1214;0,7452;0,1893;1,0436;9,4496;14,1690;0,0183;0,9654;0,2722;4,8454;2,8743;4,1863;0,0122;0,9659;0,3375;4,8454;2,8743;4,1863
