Frame;Time;Acc1X;Acc1Y;Acc1Z;Gy1X;Gy1Y;Gy1Z;Acc2X;Acc2Y;Acc2Z;Gy2X;Gy2Y;Gy2Z;WristLX;WristLY;WristLZ;WristLRotX;WristLRotY;WristLRotZ;PalmLX;PalmLY;PalmLZ;PalmLRotX;PalmLRotY;PalmLRotZ;WristRX;WristRY;WristRZ;WristRRotX;WristRRotY;WristRRotZ;PalmRX;PalmRY;PalmRZ;PalmRRotX;PalmRRotY;PalmRRotZ
1;5,42696;0,0027;0,0037;0,0034;-0,04;2,7;1,14;0;-0,0488;-0,0559;-8,58;-2,08;-0,72;-0,2241;0,7709;0,1362;4,9686;1,1518;12,4396;-0,2217;0,7609;0,2004;4,9686;1,1518;12,4396;0,0145;0,9698;0,2766;0,1713;0,0567;2,0272;0,0120;0,9649;0,3414;0,1713;0,0567;2,0272
2;5,454962;0,0015;0;-0,0024;-0,1;2,64;1,06;0;-0,0474;-0,052;-8,41;-0,49;-0,69;-0,2243;0,7709;0,1361;4,9267;1,1210;12,4565;-0,2218;0,7610;0,2003;4,9267;1,1210;12,4565;0,0148;0,9697;0,2766;0,4157;0,0715;1,5270;0,0122;0,9650;0,3414;0,4157;0,0715;1,5270
3;5,48271;0,0029;-0,0054;0;0,14;2,73;1,22;0;-0,0469;-0,0542;-7,45;-0,07;-0,74;-0,2244;0,7709;0,1361;4,9100;1,1135;12,4975;-0,2219;0,7610;0,2003;4,9100;1,1135;12,4975;0,0151;0,9698;0,2762;0,6145;0,0955;0,8350;0,0123;0,9654;0,3410;0,6145;0,0955;0,8350
4;5,510561;0,0056;0,002;-0,0029;0,03;2,67;1,18;0;-0,0378;-0,0632;-5,98;-0,58;-0,37;-0,2244;0,7710;0,1357;4,9444;1,1002;12,5756;-0,2219;0,7611;0,1999;4,9444;1,1002;12,5756;0,0151;0,9701;0,2764;0,6502;0,1188;0,8425;0,0124;0,9657;0,3412;0,6502;0,1188;0,8425
5;5,538336;0,0112;0,0022;-0,0027;0,03;2,66;1,12;0;-0,0403;-0,0549;-5,85;-0,44;-0,5;-0,2243;0,7712;0,1356;4,9029;1,0839;12,6378;-0,2218;0,7613;0,1998;4,9029;1,0839;12,6378;0,0150;0,9700;0,2761;0,6792;0,1106;0,8222;0,0123;0,9657;0,3410;0,6792;0,1106;0,8222
6;5,566356;0,0034;0,002;0,001;-0,08;2,63;1,24;0;-0,0388;-0,0525;-5,6;-0,4;-0,14;-0,2244;0,7714;0,1357;4,8645;1,0401;12,6483;-0,2218;0,7616;0,1999;4,8645;1,0401;12,6483;0,0150;0,9701;0,2761;0,7910;0,2262;0,6281;0,0122;0,9659;0,3410;0,7910;0,2262;0,6281
7;5,593966;0,0056;0;0,0005;-0,14;2,54;1,24;0;-0,0583;-0,0322;-5,47;-0,64;-1;-0,2244;0,7714;0,1357;4,8286;1,0155;12,6660;-0,2218;0,7616;0,1999;4,8286;1,0155;12,6660;0,0149;0,9701;0,2761;0,8999;0,3229;0,3772;0,0120;0,9660;0,3410;0,8999;0,3229;0,3772
8;5,622017;0,0042;-0,0005;-0,0015;-0,16;2,74;1,23;0;-0,0569;-0,0422;-5,44;-1,77;-1,05;-0,2244;0,7714;0,1357;4,7985;0,9924;12,6279;-0,2218;0,7616;0,2000;4,7985;0,9924;12,6279;0,0148;0,9702;0,2758;1,0044;0,3940;0,2032;0,0118;0,9663;0,3407;1,0044;0,3940;0,2032
9;5,649802;0,0059;-0,0046;0,0027;-0,07;2,6;1,23;0;-0,0503;-0,0393;-5,69;-1,37;-0,76;-0,2245;0,7714;0,1355;4,7676;0,9832;12,6302;-0,2219;0,7617;0,1998;4,7676;0,9832;12,6302;0,0146;0,9699;0,2761;1,0683;0,4182;0,2477;0,0115;0,9659;0,3410;1,0683;0,4182;0,2477
10;5,677728;0,0046;-0,0022;0,0005;-0,05;2,8;1,22;0;-0,0522;-0,033;-5,87;-1,31;-0,76;-0,2246;0,7714;0,1356;4,7285;0,9736;12,6956;-0,2220;0,7617;0,1998;4,7285;0,9736;12,6956;0,0141;0,9700;0,2758;1,1794;0,4674;0,3339;0,0110;0,9662;0,3407;1,1794;0,4674;0,3339
11;5,705539;0,0034;-0,0024;-0,0032;-0,1;2,64;1,25;0;-0,0378;-0,0359;-7,56;0,12;-0,96;-0,2246;0,7715;0,1355;4,7902;0,9827;12,7190;-0,2220;0,7617;0,1997;4,7902;0,9827;12,7190;0,0135;0,9709;0,2753;1,3114;0,5536;0,3178;0,0103;0,9672;0,3402;1,3114;0,5536;0,3178
12;5,733287;0,0012;-0,002;-0,0007;-0,19;2,63;1,1;0;-0,0454;-0,0378;-8,34;-0,24;-1,11;-0,2247;0,7718;0,1354;4,8363;0,9978;12,7552;-0,2221;0,7620;0,1996;4,8363;0,9978;12,7552;0,0128;0,9715;0,2748;1,4119;0,6273;0,2943;0,0096;0,9680;0,3397;1,4119;0,6273;0,2943
13;5,761257;0,0027;-0,0039;0,0005;-0,05;2,74;1,02;0;-0,0422;-0,0317;-8,19;-0,44;-0,73;-0,2245;0,7716;0,1357;4,8454;0,9639;12,7039;-0,2219;0,7618;0,1999;4,8454;0,9639;12,7039;0,0124;0,9716;0,2744;1,4347;0,6179;0,2703;0,0091;0,9681;0,3393;1,4347;0,6179;0,2703
14;5,789126;0,0054;-0,0024;0,001;0,02;2,74;1,11;0;-0,033;-0,0249;-7,82;-3,89;0,53;-0,2247;0,7709;0,1356;4,7913;0,9914;12,6616;-0,2221;0,7612;0,1999;4,7913;0,9914;12,6616;0,0124;0,9714;0,2746;1,4267;0,6086;0,2586;0,0092;0,9678;0,3395;1,4267;0,6086;0,2586
15;5,816789;0,0002;-0,0063;0,0015;0,01;2,65;1,17;0;-0,0374;-0,0239;-7,79;-6,85;1,72;-0,2247;0,7706;0,1357;4,1941;0,9936;12,9089;-0,2221;0,7615;0,2000;4,1941;0,9936;12,9089;0,0127;0,9713;0,2749;1,5660;0,7703;0,1815;0,0093;0,9679;0,3398;1,5660;0,7703;0,1815
16;5,84494;0,0044;-0,0024;0,002;-0,03;2,71;1,18;0;-0,0522;-0,0322;-8,23;-15,33;3,61;-0,2248;0,7704;0,1356;4,0210;0,9698;13,0363;-0,2222;0,7616;0,2000;4,0210;0,9698;13,0363;0,0127;0,9714;0,2749;1,7634;0,8750;0,0373;0,0091;0,9682;0,3398;1,7634;0,8750;0,0373
17;5,872711;0,0032;-0,002;0,0022;-0,05;2,63;1,15;0;-0,0518;-0,0488;-7,82;-19,31;4,83;-0,2249;0,7703;0,1359;4,0882;0,9888;12,9644;-0,2223;0,7614;0,2003;4,0882;0,9888;12,9644;0,0123;0,9713;0,2749;1,7256;0,8264;0,1959;0,0088;0,9681;0,3398;1,7256;0,8264;0,1959
18;5,90043;0,0051;0,0002;0,0029;-0,08;2,79;1,18;0;-0,0552;-0,0706;-6,63;-21,79;6,26;-0,2249;0,7703;0,1360;4,1175;0,9623;12,9668;-0,2222;0,7613;0,2004;4,1175;0,9623;12,9668;0,0121;0,9715;0,2750;1,7223;0,8731;0,8561;0,0084;0,9684;0,3400;1,7223;0,8731;0,8561
19;5,928664;0,0032;-0,0024;-0,0007;-0,07;2,66;1,11;0;-0,0559;-0,0742;-5,82;-19,4;4,76;-0,2249;0,7703;0,1360;4,1094;0,9455;13,0177;-0,2222;0,7613;0,2004;4,1094;0,9455;13,0177;0,0121;0,9717;0,2747;1,6953;0,7852;3,8575;0,0083;0,9687;0,3397;1,6953;0,7852;3,8575
20;5,956202;0,0034;-0,0017;-0,0002;-0,06;2,75;1;0;-0,0635;-0,0876;-5,76;-17,19;4,11;-0,2247;0,7706;0,1361;4,1096;0,9163;13,0031;-0,2220;0,7616;0,2005;4,1096;0,9163;13,0031;0,0111;0,9734;0,2739;1,5193;0,5553;7,6811;0,0073;0,9703;0,3388;1,5193;0,5553;7,6811
21;5,983995;0,0056;-0,0046;-0,0007;-0,07;2,82;1,13;0;-0,0679;-0,0996;-4,6;-18,09;4,41;-0,2247;0,7708;0,1361;4,1310;0,9237;12,9717;-0,2220;0,7618;0,2005;4,1310;0,9237;12,9717;0,0109;0,9737;0,2740;1,4286;0,0885;9,2089;0,0075;0,9706;0,3390;1,4286;0,0885;9,2089
22;6,013864;0,0051;0,0007;0,0015;-0,09;2,66;1,16;0;-0,0713;-0,1033;-3,02;-18,36;3,82;-0,2248;0,7709;0,1360;4,1604;0,9560;12,9398;-0,2222;0,7618;0,2004;4,1604;0,9560;12,9398;0,0100;0,9742;0,2738;1,4621;0,0334;10,0710;0,0066;0,9712;0,3388;1,4621;0,0334;10,0710
23;6,039185;0,0005;-0,0005;0,0015;-0,09;2,65;1,11;0;-0,083;-0,1165;-0,97;-18,08;2,33;-0,2249;0,7711;0,1359;4,1575;0,9253;13,0391;-0,2222;0,7621;0,2003;4,1575;0,9253;13,0391;0,0073;0,9766;0,2733;1,5005;0,0619;11,8667;0,0039;0,9737;0,3383;1,5005;0,0619;11,8667
24;6,06735;0,0081;-0,0034;0,0007;-0,08;2,79;1,12;0;-0,0789;-0,1082;-0,13;-15,37;1,25;-0,2249;0,7713;0,1358;4,1916;0,8529;13,2128;-0,2221;0,7623;0,2001;4,1916;0,8529;13,2128;0,0060;0,9776;0,2729;1,6463;0,7214;13,5247;0,0032;0,9749;0,3381;1,6463;0,7214;13,5247
25;6,095049;0,0063;-0,001;0,0007;-0,08;2,73;1,1;0;-0,0674;-0,1228;-0,4;-8,32;0,63;-0,2248;0,7710;0,1358;4,2014;0,8873;13,2451;-0,2220;0,7619;0,2002;4,2014;0,8873;13,2451;0,0059;0,9778;0,2725;1,5573;0,6500;15,5340;0,0030;0,9751;0,3376;1,5573;0,6500;15,5340
26;6,123307;0,0022;0,0022;-0,0024;0,26;2,71;1,16;0;-0,0852;-0,1106;-2,95;-3,76;2,53;-0,2247;0,7703;0,1362;4,1907;0,8771;13,2860;-0,2220;0,7612;0,2005;4,1907;0,8771;13,2860;0,0059;0,9776;0,2722;1,3136;0,4515;17,4158;0,0027;0,9746;0,3373;1,3136;0,4515;17,4158
27;6,151001;0,0034;-0,0029;0,0027;-0,02;2,59;1,27;0;-0,0806;-0,0957;-5,28;-5;3,28;-0,2248;0,7698;0,1366;4,2161;0,8650;13,3312;-0,2220;0,7607;0,2009;4,2161;0,8650;13,3312;0,0058;0,9775;0,2718;1,1216;0,4001;18,9496;0,0024;0,9744;0,3370;1,1216;0,4001;18,9496
28;6,17875;0,0068;-0,0034;-0,001;-0,31;2,82;1,11;0;-0,083;-0,1045;-5,82;-10,45;7,22;-0,2248;0,7703;0,1365;4,2898;0,8618;13,3875;-0,2220;0,7612;0,2008;4,2898;0,8618;13,3875;0,0056;0,9778;0,2717;1,2195;0,4447;19,7832;0,0022;0,9748;0,3369;1,2195;0,4447;19,7832
29;6,206651;0,0046;-0,0039;0,0002;0,09;2,7;1,28;0;-0,0752;-0,0913;-6,11;-19,96;8,47;-0,2244;0,7712;0,1366;4,3601;0,8864;13,3472;-0,2216;0,7620;0,2009;4,3601;0,8864;13,3472;0,0054;0,9781;0,2716;1,6505;0,5376;20,8453;0,0021;0,9757;0,3368;1,6505;0,5376;20,8453
30;6,234752;0,0056;0,0012;-0,0034;0,02;2,74;1,26;0;-0,0872;-0,1404;-5,96;-23,27;8,51;-0,2237;0,7718;0,1364;4,7275;1,1720;13,2302;-0,2213;0,7622;0,2007;4,7275;1,1720;13,2302;0,0052;0,9783;0,2711;2,1818;0,5394;22,7956;0,0017;0,9766;0,3363;2,1818;0,5394;22,7956
31;6,262624;0,0032;0,0005;-0,0007;0,02;2,83;1,07;0;-0,0854;-0,1519;-6,63;-23,17;6,81;-0,2237;0,7715;0,1365;4,7103;1,2268;13,1964;-0,2213;0,7619;0,2007;4,7103;1,2268;13,1964;0,0054;0,9781;0,2700;2,2784;0,1777;25,8438;0,0013;0,9768;0,3352;2,2784;0,1777;25,8438
32;6,290354;0,0046;-0,0005;0,0007;-0,18;2,72;1,24;0;-0,0867;-0,1526;-5,98;-20,92;5,19;-0,2240;0,7709;0,1365;4,7279;1,2280;13,1960;-0,2216;0,7612;0,2007;4,7279;1,2280;13,1960;0,0059;0,9784;0,2693;2,0734;0,0982;29,4408;0,0012;0,9771;0,3345;2,0734;0,0982;29,4408
33;6,318274;0,0071;0,0022;0,0007;-0,07;2,69;1,2;0;-0,1033;-0,1584;-5,46;-14,26;10,94;-0,2243;0,7706;0,1365;4,6209;1,1177;13,1497;-0,2218;0,7610;0,2008;4,6209;1,1177;13,1497;0,0064;0,9786;0,2689;0,9514;0,2198;31,5989;0,0015;0,9761;0,3341;0,9514;0,2198;31,5989
34;6,34623;0,0051;-0,0002;0;-0,12;2,68;1,08;0;-0,092;-0,1543;-8,42;-14,01;11,37;-0,2247;0,7701;0,1365;4,6085;1,1013;13,1434;-0,2222;0,7606;0,2008;4,6085;1,1013;13,1434;0,0067;0,9789;0,2688;0,2314;0,1867;31,8740;0,0018;0,9756;0,3339;0,2314;0,1867;31,8740
35;6,373897;0,0049;0,001;-0,0002;0,08;2,9;1,02;0;-0,124;-0,1616;-7,35;-28,06;16,77;-0,2249;0,7692;0,1367;4,5697;1,1035;13,1363;-0,2224;0,7597;0,2010;4,5697;1,1035;13,1363;0,0070;0,9808;0,2679;0,1936;0,2529;31,8519;0,0021;0,9774;0,3330;0,1936;0,2529;31,8519
36;6,401824;0,0056;0,0002;0,0007;-0,11;2,74;1,34;0;-0,136;-0,1946;-8,86;-39,83;14,92;-0,2250;0,7689;0,1367;4,5108;1,0806;13,1829;-0,2224;0,7595;0,2010;4,5108;1,0806;13,1829;0,0085;0,9815;0,2661;0,0767;0,6505;34,0359;0,0030;0,9780;0,3312;0,0767;0,6505;34,0359
37;6,430342;0,0039;-0,002;-0,0032;-0,17;2,73;1,02;0;-0,137;-0,2144;-9,84;-40,09;13,36;-0,2253;0,7691;0,1368;4,5408;1,0867;13,2472;-0,2227;0,7596;0,2011;4,5408;1,0867;13,2472;0,0104;0,9825;0,2618;0,3356;1,3472;40,0706;0,0037;0,9793;0,3268;0,3356;1,3472;40,0706
38;6,45821;0,0032;-0,0015;-0,0005;0,14;2,65;1,15;0;-0,1521;-0,2205;-11,86;-39,56;13,48;-0,2254;0,7693;0,1368;4,5289;1,1031;13,3257;-0,2228;0,7599;0,2011;4,5289;1,1031;13,3257;0,0110;0,9826;0,2617;0,6515;1,0342;42,2856;0,0046;0,9791;0,3267;0,6515;1,0342;42,2856
39;6,485471;0,0066;-0,0044;0,0017;-0,03;2,76;1,11;0;-0,1477;-0,2588;-13,9;-37,47;14,26;-0,2254;0,7693;0,1367;4,5107;1,0808;13,3433;-0,2229;0,7599;0,2009;4,5107;1,0808;13,3433;0,0116;0,9826;0,2616;0,8949;0,3699;43,1668;0,0059;0,9789;0,3267;0,8949;0,3699;43,1668
