Frame;Time;Acc1X;Acc1Y;Acc1Z;Gy1X;Gy1Y;Gy1Z;Acc2X;Acc2Y;Acc2Z;Gy2X;Gy2Y;Gy2Z;WristLX;WristLY;WristLZ;WristLRotX;WristLRotY;WristLRotZ;PalmLX;PalmLY;PalmLZ;PalmLRotX;PalmLRotY;PalmLRotZ;WristRX;WristRY;WristRZ;WristRRotX;WristRRotY;WristRRotZ;PalmRX;PalmRY;PalmRZ;PalmRRotX;PalmRRotY;PalmRRotZ
1;5,722888;0,0012;-0,0015;-0,0005;0;2,69;1,28;0;-0,0481;-0,103;-8,65;-5,35;-0,07;-0,1927;0,7304;0,0067;10,8684;12,9966;23,7047;-0,1741;0,7387;0,0682;10,8684;12,9966;23,7047;0,0143;0,9664;0,2748;3,5535;2,7132;2,5992;0,0086;0,9653;0,3393;3,5535;2,7132;2,5992
2;5,750926;-0,0022;0,002;0;-0,02;2,63;0,98;0;-0,0469;-0,0959;-7,98;-4,89;0,37;-0,1927;0,7302;0,0069;11,1106;12,9349;23,9655;-0,1742;0,7389;0,0684;11,1106;12,9349;23,9655;0,0143;0,9664;0,2746;3,5803;2,7696;2,4727;0,0086;0,9653;0,3391;3,5803;2,7696;2,4727
3;5,778663;0;-0,0017;0,0002;-0,11;2,71;1,2;0;-0,0469;-0,1104;-8,45;-3,93;0,5;-0,1928;0,7300;0,0071;11,1021;12,9709;23,9075;-0,1743;0,7387;0,0686;11,1021;12,9709;23,9075;0,0143;0,9664;0,2746;3,6327;2,9798;2,2035;0,0083;0,9653;0,3391;3,6327;2,9798;2,2035
4;5,80652;0;-0,0039;0,0005;-0,11;2,59;1,23;0;-0,0425;-0,1172;-8,24;-3,1;1,01;-0,1929;0,7300;0,0071;11,0505;12,9843;23,9029;-0,1744;0,7385;0,0686;11,0505;12,9843;23,9029;0,0141;0,9664;0,2748;3,6670;2,9848;2,0653;0,0082;0,9654;0,3393;3,6670;2,9848;2,0653
5;5,834071;0,0034;0,0012;0,0007;-0,07;2,64;1,11;0;-0,0486;-0,1262;-8,17;-1,48;0,87;-0,1929;0,7302;0,0070;11,0775;12,9811;23,9424;-0,1744;0,7388;0,0685;11,0775;12,9811;23,9424;0,0138;0,9665;0,2747;3,7132;2,9868;2,0239;0,0079;0,9655;0,3392;3,7132;2,9868;2,0239
6;5,861998;-0,0002;-0,0032;0,001;0,06;2,74;1,04;0;-0,0554;-0,1228;-7,95;-0,81;0,98;-0,1929;0,7303;0,0070;11,0891;13,0002;23,9715;-0,1743;0,7389;0,0685;11,0891;13,0002;23,9715;0,0136;0,9665;0,2749;3,7647;2,9242;2,0886;0,0077;0,9656;0,3393;3,7647;2,9242;2,0886
7;5,890104;0,0024;-0,0039;0,0032;-0,2;2,61;1,22;0;-0,0427;-0,1145;-7,84;0,16;-0,49;-0,1929;0,7304;0,0071;11,0694;13,0048;23,9914;-0,1743;0,7389;0,0685;11,0694;13,0048;23,9914;0,0134;0,9666;0,2747;3,8541;2,8478;2,2008;0,0077;0,9658;0,3392;3,8541;2,8478;2,2008
8;5,918054;0,0059;0,0007;0,0007;0,02;2,59;1,18;0;-0,0505;-0,095;-8,38;-0,53;-0,79;-0,1929;0,7304;0,0071;11,0376;13,0007;23,9526;-0,1743;0,7390;0,0685;11,0376;13,0007;23,9526;0,0135;0,9664;0,2747;3,8648;2,8759;2,2464;0,0077;0,9656;0,3392;3,8648;2,8759;2,2464
9;5,945621;-0,0002;-0,002;0,0029;-0,09;2,65;1,15;0;-0,0442;-0,0947;-9,53;-4,53;-0,49;-0,1929;0,7306;0,0070;10,9587;12,9580;23,9171;-0,1744;0,7391;0,0685;10,9587;12,9580;23,9171;0,0136;0,9662;0,2746;3,8485;2,8651;2,6385;0,0077;0,9654;0,3391;3,8485;2,8651;2,6385
10;5,973519;-0,0002;-0,002;0,0029;-0,09;2,65;1,15;0;-0,0425;-0,0974;-9,92;-8,25;0,85;-0,1929;0,7309;0,0069;10,9432;12,9359;23,9423;-0,1744;0,7394;0,0684;10,9432;12,9359;23,9423;0,0136;0,9661;0,2747;3,8997;2,9080;2,7574;0,0077;0,9653;0,3392;3,8997;2,9080;2,7574
11;6,001374;0,0024;-0,0061;0,0002;-0,1;2,82;1,24;0;-0,0486;-0,1121;-11,06;-14,59;1,41;-0,1929;0,7310;0,0069;10,9448;12,9247;23,9661;-0,1744;0,7394;0,0684;10,9448;12,9247;23,9661;0,0136;0,9661;0,2748;3,9479;2,9180;2,7194;0,0077;0,9654;0,3392;3,9479;2,9180;2,7194
12;6,029024;0;-0,0005;0,0022;-0,04;2,56;1,13;0;-0,0527;-0,1035;-11,62;-16,74;1,76;-0,1928;0,7309;0,0070;11,1351;12,9225;23,9675;-0,1743;0,7396;0,0685;11,1351;12,9225;23,9675;0,0137;0,9663;0,2749;4,0566;2,9374;2,4127;0,0078;0,9657;0,3394;4,0566;2,9374;2,4127
13;6,056984;-0,0044;-0,0039;0,0039;-0,1;2,7;1,19;0;-0,042;-0,1062;-13,56;-13,92;2,73;-0,1927;0,7308;0,0070;11,1680;12,8993;23,9370;-0,1742;0,7395;0,0685;11,1680;12,8993;23,9370;0,0136;0,9663;0,2753;4,1824;3,0354;2,2174;0,0076;0,9659;0,3398;4,1824;3,0354;2,2174
14;6,084595;-0,0017;0,0024;0,0032;0,14;2,65;1,12;0;-0,0608;-0,092;-15,97;-22,71;5,15;-0,1926;0,7309;0,0068;11,1661;12,8576;23,9098;-0,1742;0,7396;0,0684;11,1661;12,8576;23,9098;0,0134;0,9664;0,2756;4,2853;2,9990;2,2428;0,0074;0,9661;0,3401;4,2853;2,9990;2,2428
