Frame;Time;Acc1X;Acc1Y;Acc1Z;Gy1X;Gy1Y;Gy1Z;Acc2X;Acc2Y;Acc2Z;Gy2X;Gy2Y;Gy2Z;WristLX;WristLY;WristLZ;WristLRotX;WristLRotY;WristLRotZ;PalmLX;PalmLY;PalmLZ;PalmLRotX;PalmLRotY;PalmLRotZ;WristRX;WristRY;WristRZ;WristRRotX;WristRRotY;WristRRotZ;PalmRX;PalmRY;PalmRZ;PalmRRotX;PalmRRotY;PalmRRotZ
1;5,338984;0;0;0;0;0;0;0;-0,001;0,0015;-8,16;-1,45;-1,39;-0,1523;0,9293;0,3545;-16,5961;45,3915;-0,7181;-0,1054;0,9427;0,3978;-16,5961;45,3915;-0,7181;0,1909;0,8369;0,5356;1,2707;-0,1212;-2,7521;0,1880;0,8304;0,6001;1,2707;-0,1212;-2,7521
2;5,394614;0;0;0;0;0;0;0;0,0037;0,0125;-7,57;-1,42;-1,13;-0,1521;0,9297;0,3548;-16,3520;45,3148;-0,7541;-0,1052;0,9427;0,3982;-16,3520;45,3148;-0,7541;0,1932;0,8397;0,5351;0,0721;0,0487;-4,1107;0,1903;0,8347;0,5997;0,0721;0,0487;-4,1107
3;5,450183;0;0;0;0;0;0;0;-0,0078;-0,0029;-8,6;-1,29;-1,21;-0,1514;0,9300;0,3549;-16,2742;45,4276;-0,9426;-0,1045;0,9430;0,3982;-16,2742;45,4276;-0,9426;0,1992;0,8432;0,5242;-2,6381;2,6803;-9,1585;0,1989;0,8416;0,5891;-2,6381;2,6803;-9,1585
4;5,505975;0;0;0;0;0;0;0;0,0027;0,0015;-8,29;-1,44;-0,89;-0,1508;0,9301;0,3555;-16,4501;45,6319;-1,0659;-0,1037;0,9432;0,3986;-16,4501;45,6319;-1,0659;0,1994;0,8611;0,4676;-9,5994;6,7549;-10,1062;0,2041;0,8669;0,5324;-9,5994;6,7549;-10,1062
5;5,561589;0;0;0;0;0;0;0;0,0027;0,0015;-8,29;-1,44;-0,89;-0,1497;0,9302;0,3556;-16,6178;45,6076;-0,9306;-0,1027;0,9435;0,3987;-16,6178;45,6076;-0,9306;0,1929;0,8940;0,4031;-9,4760;14,2594;-10,1468;0,2062;0,8996;0,4668;-9,4760;14,2594;-10,1468
6;5,617686;0;0;0;0;0;0;0;-0,001;0,0073;-8,82;-1,21;-1,26;-0,1487;0,9304;0,3558;-16,6344;45,5132;-0,9157;-0,1017;0,9438;0,3990;-16,6344;45,5132;-0,9157;0,1981;0,9056;0,3445;-8,7791;25,6680;-23,5432;0,2228;0,9112;0,4048;-8,7791;25,6680;-23,5432
7;5,673381;0;0;0;0;0;0;0;-0,002;-0,0039;-7,76;-1,42;-1,45;-0,1468;0,9289;0,3563;-16,9144;45,5089;-0,9919;-0,0999;0,9426;0,3995;-16,9144;45,5089;-0,9919;0,2067;0,8570;0,3207;-27,4338;33,2963;-20,7955;0,2367;0,8828;0,3728;-27,4338;33,2963;-20,7955
8;5,729438;0;0;0;0;0;0;0;-0,0037;0,0061;-8,47;-1,16;-1,08;-0,1437;0,9274;0,3563;-18,1390;46,3176;-1,0220;-0,0964;0,9424;0,3986;-18,1390;46,3176;-1,0220;0,2270;0,8266;0,3217;-29,8366;37,9721;-20,7096;0,2604;0,8549;0,3703;-29,8366;37,9721;-20,7096
9;5,784516;0;0;0;0;0;0;0;-0,002;0,0046;-7,99;-1,29;-1,21;-0,1430;0,9275;0,3557;-18,3308;46,5015;-0,9259;-0,0956;0,9428;0,3977;-18,3308;46,5015;-0,9259;0,2440;0,8124;0,3040;-20,1504;35,5542;-14,4882;0,2781;0,8301;0,3570;-20,1504;35,5542;-14,4882
10;5,840112;0;0;0;0;0;0;0;-0,0046;0,0022;-8,46;-1,49;-1,16;-0,1424;0,9278;0,3554;-18,6093;47,0350;-1,1611;-0,0947;0,9434;0,3969;-18,6093;47,0350;-1,1611;0,2501;0,7965;0,3018;-18,8106;31,8450;-11,8108;0,2808;0,8127;0,3571;-18,8106;31,8450;-11,8108
11;5,895881;0;0;0;0;0;0;0;0,0007;0,0056;-9,5;-1,11;-1,05;-0,1412;0,9279;0,3543;-18,7141;47,1915;-1,3156;-0,0934;0,9436;0,3957;-18,7141;47,1915;-1,3156;0,2507;0,7934;0,3038;-17,4741;30,2284;-11,4240;0,2798;0,8083;0,3601;-17,4741;30,2284;-11,4240
