Frame;Time;Acc1X;Acc1Y;Acc1Z;Gy1X;Gy1Y;Gy1Z;Acc2X;Acc2Y;Acc2Z;Gy2X;Gy2Y;Gy2Z;WristLX;WristLY;WristLZ;WristLRotX;WristLRotY;WristLRotZ;PalmLX;PalmLY;PalmLZ;PalmLRotX;PalmLRotY;PalmLRotZ;WristRX;WristRY;WristRZ;WristRRotX;WristRRotY;WristRRotZ;PalmRX;PalmRY;PalmRZ;PalmRRotX;PalmRRotY;PalmRRotZ
1;5,084536;-0,4058;0,0698;0,0427;-0,26;2,41;1,38;0;-0,6382;-0,625;-11,22;2,31;-0,98;-0,2996;0,9393;0,0307;-50,1944;-33,2255;82,4852;-0,3171;0,9897;0,0678;-50,1944;-33,2255;82,4852;0,0132;0,9679;0,2784;-2,3942;-3,6736;-1,7598;0,0063;0,9656;0,3424;-2,3942;-3,6736;-1,7598
2;5,112363;-0,4121;0,0713;0,0435;-1,08;0,49;1,11;0;-0,6282;-0,6301;-10,43;2,24;-2,5;-0,2998;0,9394;0,0308;-50,2109;-33,2089;82,3730;-0,3171;0,9897;0,0679;-50,2109;-33,2089;82,3730;0,0133;0,9682;0,2785;-2,3718;-3,6114;-1,7243;0,0066;0,9658;0,3425;-2,3718;-3,6114;-1,7243
3;5,14059;-0,3989;0,0701;0,0471;-0,8;-0,37;1,76;0;-0,6182;-0,6199;-10,89;-0,12;-0,36;-0,2995;0,9395;0,0311;-50,2702;-33,2821;82,2143;-0,3169;0,9899;0,0681;-50,2702;-33,2821;82,2143;0,0134;0,9682;0,2788;-2,3490;-3,4657;-1,6516;0,0068;0,9658;0,3428;-2,3490;-3,4657;-1,6516
4;5,168396;-0,3904;0,0659;0,0432;-1,47;0,42;1,22;0;-0,6274;-0,635;-11,53;-0,78;0,36;-0,2990;0,9395;0,0312;-50,3025;-33,3498;82,0776;-0,3164;0,9899;0,0683;-50,3025;-33,3498;82,0776;0,0136;0,9682;0,2790;-2,3033;-3,3673;-1,6003;0,0072;0,9658;0,3431;-2,3033;-3,3673;-1,6003
5;5,195897;-0,3931;0,064;0,0527;-1,74;0,5;1,12;0;-0,6282;-0,6318;-11,34;0,93;-0,35;-0,2987;0,9396;0,0314;-50,3127;-33,4104;82,1315;-0,3162;0,9900;0,0683;-50,3127;-33,4104;82,1315;0,0141;0,9682;0,2790;-2,3268;-3,3710;-1,5582;0,0076;0,9658;0,3430;-2,3268;-3,3710;-1,5582
6;5,224091;-0,3801;0,0679;0,0562;-1,24;0,37;1,35;0;-0,6274;-0,6235;-10,64;3,11;-2,26;-0,2986;0,9396;0,0312;-50,1921;-33,4881;81,9494;-0,3162;0,9899;0,0683;-50,1921;-33,4881;81,9494;0,0144;0,9682;0,2787;-2,4879;-3,3051;-1,4071;0,0080;0,9659;0,3428;-2,4879;-3,3051;-1,4071
7;5,251592;-0,384;0,0691;0,0586;-0,92;1,5;0,8;0;-0,6372;-0,6035;-10,73;1,02;-1,24;-0,2983;0,9398;0,0312;-49,9924;-33,3792;81,7304;-0,3160;0,9899;0,0684;-49,9924;-33,3792;81,7304;0,0146;0,9681;0,2784;-2,6418;-3,1837;-1,3358;0,0083;0,9661;0,3425;-2,6418;-3,1837;-1,3358
8;5,27958;-0,3892;0,071;0,0564;-0,69;2,06;0,16;0;-0,6201;-0,616;-9,26;0,17;-0,79;-0,2983;0,9399;0,0310;-49,8105;-33,2618;81,6279;-0,3159;0,9899;0,0684;-49,8105;-33,2618;81,6279;0,0147;0,9681;0,2781;-2,6584;-3,1264;-1,3492;0,0085;0,9661;0,3421;-2,6584;-3,1264;-1,3492
9;5,307268;-0,3918;0,0735;0,0554;0,15;0,99;-0,79;0;-0,6191;-0,6079;-8;1,5;-1,92;-0,2982;0,9397;0,0309;-49,6335;-33,1863;81,8801;-0,3159;0,9895;0,0685;-49,6335;-33,1863;81,8801;0,0151;0,9682;0,2778;-2,6888;-3,0991;-1,3842;0,0089;0,9662;0,3419;-2,6888;-3,0991;-1,3842
10;5,335567;-0,3948;0,073;0,0515;0,41;1,4;-1,53;0;-0,6267;-0,6284;-8,95;3,67;-3,96;-0,2984;0,9395;0,0310;-49,6226;-33,2508;82,4228;-0,3161;0,9894;0,0686;-49,6226;-33,2508;82,4228;0,0153;0,9685;0,2779;-2,6549;-3,0773;-1,3360;0,0091;0,9664;0,3420;-2,6549;-3,0773;-1,3360
