Frame;Time;Acc1X;Acc1Y;Acc1Z;Gy1X;Gy1Y;Gy1Z;Acc2X;Acc2Y;Acc2Z;Gy2X;Gy2Y;Gy2Z;WristLX;WristLY;WristLZ;WristLRotX;WristLRotY;WristLRotZ;PalmLX;PalmLY;PalmLZ;PalmLRotX;PalmLRotY;PalmLRotZ;WristRX;WristRY;WristRZ;WristRRotX;WristRRotY;WristRRotZ;PalmRX;PalmRY;PalmRZ;PalmRRotX;PalmRRotY;PalmRRotZ
1;4,863581;0;0;0;0;0;0;0;0;0;0;0;0;-0,1385;0,7155;-0,0934;9,9494;3,4933;15,9370;-0,1306;0,7009;-0,0319;9,9494;3,4933;15,9370;0,0502;0,9627;0,1642;-18,5673;-28,8363;-6,4030;0,0175;0,9786;0,2171;-18,5673;-28,8363;-6,4030
2;4,891764;0;0;0;0;0;0;0;0;0;0;0;0;-0,1368;0,7147;-0,0935;9,4602;2,5817;16,0696;-0,1298;0,7006;-0,0317;9,4602;2,5817;16,0696;0,0492;0,9629;0,1639;-18,1956;-29,9496;-5,2623;0,0155;0,9783;0,2163;-18,1956;-29,9496;-5,2623
3;4,933357;0;0;0;0;0;0;0;0;0;0;0;0;-0,1363;0,7138;-0,0936;9,2374;2,1590;16,0000;-0,1299;0,7000;-0,0317;9,2374;2,1590;16,0000;0,0483;0,9633;0,1636;-17,0855;-31,2884;-3,7997;0,0134;0,9774;0,2155;-17,0855;-31,2884;-3,7997
4;4,961142;0;0;0;0;0;0;0;0;0;0;0;0;-0,1359;0,7125;-0,0939;9,0271;1,9403;15,6024;-0,1297;0,6990;-0,0320;9,0271;1,9403;15,6024;0,0461;0,9665;0,1631;-15,6630;-32,1493;-2,6841;0,0103;0,9790;0,2148;-15,6630;-32,1493;-2,6841
5;4,989031;0;0;0;0;0;0;0;0;0;0;0;0;-0,1349;0,7121;-0,0947;8,8828;1,7333;15,0771;-0,1290;0,6987;-0,0327;8,8828;1,7333;15,0771;0,0450;0,9680;0,1624;-15,4720;-32,4232;-2,7177;0,0089;0,9803;0,2139;-15,4720;-32,4232;-2,7177
6;5,017368;0;0;0;0;0;0;0;0;0;0;0;0;-0,1326;0,7117;-0,0952;8,8886;1,6633;14,8083;-0,1268;0,6983;-0,0333;8,8886;1,6633;14,8083;0,0445;0,9692;0,1615;-15,4918;-32,4437;-2,7569;0,0084;0,9815;0,2130;-15,4918;-32,4437;-2,7569
7;5,044811;0;0;0;0;0;0;0;0;0;0;0;0;-0,1297;0,7092;-0,0980;8,9736;1,6211;14,3169;-0,1239;0,6956;-0,0361;8,9736;1,6211;14,3169;0,0436;0,9707;0,1610;-15,4946;-32,4057;-2,7418;0,0075;0,9830;0,2125;-15,4946;-32,4057;-2,7418
8;5,072966;0;0;0;0;0;0;0;0;0;0;0;0;-0,1258;0,7062;-0,1017;8,7194;1,5032;14,0909;-0,1201;0,6929;-0,0398;8,7194;1,5032;14,0909;0,0434;0,9726;0,1601;-15,6479;-32,2993;-2,5952;0,0074;0,9851;0,2117;-15,6479;-32,2993;-2,5952
9;5,100414;0;0;0;0;0;0;0;0;0;0;0;0;-0,1238;0,7048;-0,1047;8,4966;0,9157;13,5555;-0,1188;0,6917;-0,0427;8,4966;0,9157;13,5555;0,0433;0,9748;0,1601;-15,8482;-32,0059;-2,6561;0,0076;0,9875;0,2118;-15,8482;-32,0059;-2,6561
10;5,128023;0;0;0;0;0;0;0;0;0;0;0;0;-0,1231;0,7053;-0,1065;8,4909;-0,0202;12,6269;-0,1192;0,6922;-0,0443;8,4909;-0,0202;12,6269;0,0435;0,9748;0,1603;-16,0691;-31,0609;-3,2003;0,0087;0,9878;0,2125;-16,0691;-31,0609;-3,2003
11;5,156096;0;0;0;0;0;0;0;0;0;0;0;0;-0,1232;0,7054;-0,1075;8,2424;-1,5809;11,4108;-0,1211;0,6925;-0,0453;8,2424;-1,5809;11,4108;0,0437;0,9748;0,1610;-16,0813;-30,4848;-3,4661;0,0094;0,9879;0,2136;-16,0813;-30,4848;-3,4661
12;5,18375;0;0;0;0;0;0;0;0;0;0;0;0;-0,1242;0,7055;-0,1095;7,8049;-4,3213;11,6160;-0,1250;0,6930;-0,0471;7,8049;-4,3213;11,6160;0,0441;0,9744;0,1629;-16,0416;-30,3222;-3,3136;0,0099;0,9874;0,2155;-16,0416;-30,3222;-3,3136
13;5,211586;0;0;0;0;0;0;0;0;0;0;0;0;-0,1269;0,7070;-0,1104;8,0151;-6,1033;11,1789;-0,1297;0,6943;-0,0481;8,0151;-6,1033;11,1789;0,0446;0,9738;0,1646;-15,9492;-30,2924;-3,2066;0,0104;0,9867;0,2172;-15,9492;-30,2924;-3,2066
14;5,239576;0;0;0;0;0;0;0;0;0;0;0;0;-0,1297;0,7093;-0,1114;7,8610;-7,2480;10,9785;-0,1337;0,6967;-0,0491;7,8610;-7,2480;10,9785;0,0451;0,9734;0,1661;-15,8072;-30,2380;-3,1872;0,0110;0,9861;0,2188;-15,8072;-30,2380;-3,1872
15;5,267427;0;0;0;0;0;0;0;0;0;0;0;0;-0,1328;0,7092;-0,1127;8,2317;-8,0904;10,9141;-0,1378;0,6963;-0,0506;8,2317;-8,0904;10,9141;0,0449;0,9728;0,1664;-15,7419;-30,2652;-3,1766;0,0107;0,9854;0,2191;-15,7419;-30,2652;-3,1766
16;5,295208;0;0;0;0;0;0;0;0;0;0;0;0;-0,1349;0,7089;-0,1137;8,4771;-8,6037;11,4971;-0,1404;0,6957;-0,0517;8,4771;-8,6037;11,4971;0,0430;0,9687;0,1671;-15,6211;-30,3033;-3,1985;0,0088;0,9812;0,2198;-15,6211;-30,3033;-3,1985
17;5,323084;0;0;0;0;0;0;0;0;0;0;0;0;-0,1376;0,7104;-0,1151;8,6386;-8,9009;12,1926;-0,1433;0,6971;-0,0532;8,6386;-8,9009;12,1926;0,0409;0,9661;0,1671;-15,1173;-30,4073;-3,1608;0,0066;0,9781;0,2198;-15,1173;-30,4073;-3,1608
18;5,351007;0;0;0;0;0;0;0;0;0;0;0;0;-0,1403;0,7103;-0,1156;9,1695;-9,6951;12,6774;-0,1468;0,6965;-0,0539;9,1695;-9,6951;12,6774;0,0398;0,9633;0,1669;-14,5311;-30,7213;-3,1318;0,0051;0,9747;0,2195;-14,5311;-30,7213;-3,1318
19;5,378798;0;0;0;0;0;0;0;0;0;0;0;0;-0,1423;0,7098;-0,1163;9,3976;-10,2346;12,3074;-0,1494;0,6957;-0,0547;9,3976;-10,2346;12,3074;0,0379;0,9607;0,1660;-13,7483;-31,8480;-2,0387;0,0022;0,9711;0,2181;-13,7483;-31,8480;-2,0387
20;5,406507;0;0;0;0;0;0;0;0;0;0;0;0;-0,1436;0,7073;-0,1176;9,4696;-10,7227;11,7916;-0,1513;0,6931;-0,0561;9,4696;-10,7227;11,7916;0,0359;0,9593;0,1652;-12,7734;-32,9437;-0,4138;-0,0008;0,9686;0,2169;-12,7734;-32,9437;-0,4138
21;5,434462;0;0;0;0;0;0;0;0;0;0;0;0;-0,1437;0,7048;-0,1180;9,4859;-11,2553;11,3708;-0,1519;0,6905;-0,0566;9,4859;-11,2553;11,3708;0,0334;0,9594;0,1642;-12,5684;-33,4726;-0,0137;-0,0038;0,9685;0,2155;-12,5684;-33,4726;-0,0137
22;5,462238;0;0;0;0;0;0;0;0;0;0;0;0;-0,1435;0,7037;-0,1185;9,5662;-11,6867;11,3737;-0,1522;0,6894;-0,0572;9,5662;-11,6867;11,3737;0,0300;0,9599;0,1630;-12,3203;-33,6560;0,1953;-0,0074;0,9687;0,2142;-12,3203;-33,6560;0,1953
23;5,490133;0;0;0;0;0;0;0;0;0;0;0;0;-0,1432;0,7038;-0,1188;9,6520;-12,4529;12,0430;-0,1527;0,6894;-0,0576;9,6520;-12,4529;12,0430;0,0276;0,9614;0,1623;-12,2693;-33,5608;-0,0238;-0,0096;0,9701;0,2136;-12,2693;-33,5608;-0,0238
24;5,517813;0;0;0;0;0;0;0;0;0;0;0;0;-0,1432;0,7040;-0,1188;9,5690;-13,1157;12,4810;-0,1534;0,6897;-0,0577;9,5690;-13,1157;12,4810;0,0260;0,9619;0,1628;-11,9659;-33,3179;-0,9057;-0,0111;0,9703;0,2142;-11,9659;-33,3179;-0,9057
25;5,54578;0;0;0;0;0;0;0;0;0;0;0;0;-0,1419;0,7047;-0,1189;9,3230;-13,6865;13,0093;-0,1527;0,6908;-0,0578;9,3230;-13,6865;13,0093;0,0228;0,9628;0,1645;-11,7460;-33,1237;-1,7541;-0,0142;0,9710;0,2160;-11,7460;-33,1237;-1,7541
26;5,573566;0;0;0;0;0;0;0;0;0;0;0;0;-0,1411;0,7044;-0,1190;9,2930;-14,2932;13,2298;-0,1525;0,6905;-0,0580;9,2930;-14,2932;13,2298;0,0228;0,9629;0,1641;-11,9013;-33,2869;-1,9392;-0,0144;0,9713;0,2155;-11,9013;-33,2869;-1,9392
27;5,601421;0;0;0;0;0;0;0;0;0;0;0;0;-0,1411;0,7030;-0,1193;8,9361;-15,1629;12,5648;-0,1535;0,6895;-0,0585;8,9361;-15,1629;12,5648;0,0226;0,9630;0,1643;-11,9361;-33,3356;-1,8741;-0,0147;0,9714;0,2157;-11,9361;-33,3356;-1,8741
28;5,62933;0;0;0;0;0;0;0;0;0;0;0;0;-0,1407;0,7003;-0,1208;7,8587;-16,4674;10,9133;-0,1547;0,6879;-0,0601;7,8587;-16,4674;10,9133;0,0227;0,9630;0,1644;-12,1710;-33,6929;-1,6455;-0,0148;0,9717;0,2155;-12,1710;-33,6929;-1,6455
29;5,657223;0;0;0;0;0;0;0;0;0;0;0;0;-0,1403;0,6985;-0,1219;7,0519;-17,3398;9,7732;-0,1553;0,6869;-0,0612;7,0519;-17,3398;9,7732;0,0228;0,9630;0,1645;-12,5703;-34,1776;-1,2763;-0,0151;0,9721;0,2152;-12,5703;-34,1776;-1,2763
30;5,685095;0;0;0;0;0;0;0;0;0;0;0;0;-0,1401;0,6969;-0,1245;7,5030;-18,5859;9,0061;-0,1564;0,6847;-0,0643;7,5030;-18,5859;9,0061;0,0223;0,9632;0,1646;-13,1192;-34,5718;-1,1949;-0,0159;0,9729;0,2151;-13,1192;-34,5718;-1,1949
31;5,712828;0;0;0;0;0;0;0;0;0;0;0;0;-0,1401;0,6969;-0,1272;7,5402;-19,1195;9,0637;-0,1569;0,6847;-0,0672;7,5402;-19,1195;9,0637;0,0217;0,9631;0,1644;-13,9123;-35,2191;-1,2973;-0,0170;0,9737;0,2143;-13,9123;-35,2191;-1,2973
32;5,740601;0;0;0;0;0;0;0;0;0;0;0;0;-0,1395;0,6975;-0,1300;7,6348;-19,6386;10,0722;-0,1568;0,6852;-0,0701;7,6348;-19,6386;10,0722;0,0216;0,9630;0,1641;-14,5626;-36,3524;-1,5790;-0,0180;0,9743;0,2131;-14,5626;-36,3524;-1,5790
33;5,768578;0;0;0;0;0;0;0;0;0;0;0;0;-0,1395;0,6974;-0,1323;7,6703;-20,1276;10,9331;-0,1573;0,6851;-0,0726;7,6703;-20,1276;10,9331;0,0211;0,9631;0,1633;-14,8449;-37,0070;-1,6925;-0,0190;0,9747;0,2118;-14,8449;-37,0070;-1,6925
34;5,79628;0;0;0;0;0;0;0;0;0;0;0;0;-0,1390;0,6972;-0,1333;7,5076;-20,4778;11,4557;-0,1571;0,6852;-0,0736;7,5076;-20,4778;11,4557;0,0198;0,9636;0,1604;-14,7783;-37,0781;-1,7356;-0,0204;0,9752;0,2088;-14,7783;-37,0781;-1,7356
35;5,824389;0;0;0;0;0;0;0;0;0;0;0;0;-0,1386;0,6974;-0,1334;7,5859;-20,4545;11,7112;-0,1566;0,6853;-0,0737;7,5859;-20,4545;11,7112;0,0180;0,9641;0,1587;-14,6168;-37,0191;-1,8946;-0,0221;0,9755;0,2072;-14,6168;-37,0191;-1,8946
36;5,852251;0;0;0;0;0;0;0;0;0;0;0;0;-0,1384;0,6975;-0,1333;7,6689;-20,4110;11,8084;-0,1564;0,6853;-0,0736;7,6689;-20,4110;11,8084;0,0172;0,9646;0,1577;-14,5226;-36,9890;-1,9032;-0,0230;0,9759;0,2062;-14,5226;-36,9890;-1,9032
37;5,880409;0;0;0;0;0;0;0;0;0;0;0;0;-0,1381;0,6976;-0,1333;7,7299;-20,3770;11,8198;-0,1561;0,6854;-0,0736;7,7299;-20,3770;11,8198;0,0168;0,9647;0,1577;-14,4119;-37,0069;-1,7060;-0,0234;0,9759;0,2062;-14,4119;-37,0069;-1,7060
38;5,907902;0;0;0;0;0;0;0;0;0;0;0;0;-0,1371;0,6981;-0,1332;7,9109;-20,4620;11,6846;-0,1552;0,6857;-0,0736;7,9109;-20,4620;11,6846;0,0159;0,9646;0,1582;-14,3241;-37,0315;-1,2742;-0,0243;0,9757;0,2067;-14,3241;-37,0315;-1,2742
39;5,936268;0;0;0;0;0;0;0;0;0;0;0;0;-0,1364;0,6989;-0,1327;7,9490;-20,5078;11,6298;-0,1545;0,6865;-0,0731;7,9490;-20,5078;11,6298;0,0159;0,9645;0,1584;-14,3835;-37,0650;-1,1047;-0,0243;0,9756;0,2069;-14,3835;-37,0650;-1,1047
40;5,964233;0;0;0;0;0;0;0;0;0;0;0;0;-0,1360;0,6994;-0,1323;7,9921;-20,5290;11,6600;-0,1541;0,6868;-0,0727;7,9921;-20,5290;11,6600;0,0161;0,9643;0,1586;-14,4183;-37,1018;-1,1129;-0,0242;0,9755;0,2071;-14,4183;-37,1018;-1,1129
41;5,991301;0;0;0;0;0;0;0;0;0;0;0;0;-0,1360;0,6996;-0,1323;8,2370;-20,6910;11,8569;-0,1542;0,6869;-0,0729;8,2370;-20,6910;11,8569;0,0162;0,9644;0,1592;-14,4982;-37,2585;-1,3521;-0,0242;0,9757;0,2075;-14,4982;-37,2585;-1,3521
42;6,019186;0;0;0;0;0;0;0;0;0;0;0;0;-0,1361;0,6997;-0,1324;8,2348;-20,7286;11,8729;-0,1544;0,6870;-0,0729;8,2348;-20,7286;11,8729;0,0164;0,9641;0,1598;-14,5681;-37,3865;-1,6440;-0,0240;0,9755;0,2080;-14,5681;-37,3865;-1,6440
43;6,04702;0;0;0;0;0;0;0;0;0;0;0;0;-0,1365;0,6997;-0,1324;8,2972;-20,7602;11,8038;-0,1548;0,6869;-0,0730;8,2972;-20,7602;11,8038;0,0165;0,9639;0,1602;-14,6009;-37,4064;-1,6361;-0,0240;0,9753;0,2084;-14,6009;-37,4064;-1,6361
44;6,07519;0;0;0;0;0;0;0;0;0;0;0;0;-0,1368;0,6990;-0,1323;8,2075;-20,8711;11,4066;-0,1553;0,6862;-0,0729;8,2075;-20,8711;11,4066;0,0164;0,9639;0,1603;-14,6438;-37,4421;-1,5948;-0,0241;0,9753;0,2084;-14,6438;-37,4421;-1,5948
45;6,102856;0;0;0;0;0;0;0;0;0;0;0;0;-0,1369;0,6987;-0,1323;8,1728;-20,9634;11,3193;-0,1554;0,6860;-0,0729;8,1728;-20,9634;11,3193;0,0162;0,9639;0,1604;-14,7062;-37,4694;-1,5263;-0,0243;0,9754;0,2085;-14,7062;-37,4694;-1,5263
46;6,130775;0;0;0;0;0;0;0;0;0;0;0;0;-0,1369;0,6987;-0,1323;8,1651;-20,9773;11,3497;-0,1555;0,6860;-0,0729;8,1651;-20,9773;11,3497;0,0160;0,9639;0,1602;-14,8369;-37,4687;-1,4789;-0,0245;0,9756;0,2083;-14,8369;-37,4687;-1,4789
47;6,158195;0;0;0;0;0;0;0;0;0;0;0;0;-0,1371;0,6988;-0,1321;8,2980;-21,0092;11,3118;-0,1558;0,6860;-0,0728;8,2980;-21,0092;11,3118;0,0159;0,9642;0,1603;-14,9088;-37,4553;-1,4528;-0,0245;0,9760;0,2084;-14,9088;-37,4553;-1,4528
48;6,186188;0;0;0;0;0;0;0;0;0;0;0;0;-0,1373;0,6988;-0,1321;8,4453;-21,0216;11,2851;-0,1559;0,6857;-0,0728;8,4453;-21,0216;11,2851;0,0157;0,9646;0,1603;-14,9526;-37,4460;-1,4372;-0,0248;0,9764;0,2083;-14,9526;-37,4460;-1,4372
49;6,214113;0;0;0;0;0;0;0;0;0;0;0;0;-0,1374;0,6985;-0,1321;8,3964;-20,9822;11,3626;-0,1560;0,6855;-0,0728;8,3964;-20,9822;11,3626;0,0154;0,9648;0,1602;-14,9673;-37,4770;-1,4179;-0,0251;0,9766;0,2082;-14,9673;-37,4770;-1,4179
50;6,241913;0;0;0;0;0;0;0;0;0;0;0;0;-0,1373;0,6985;-0,1320;8,2930;-20,9068;11,4812;-0,1558;0,6856;-0,0726;8,2930;-20,9068;11,4812;0,0151;0,9649;0,1601;-14,9782;-37,5052;-1,3438;-0,0254;0,9767;0,2081;-14,9782;-37,5052;-1,3438
51;6,269848;0;0;0;0;0;0;0;0;0;0;0;0;-0,1373;0,6984;-0,1317;8,3125;-20,8957;11,4850;-0,1557;0,6855;-0,0723;8,3125;-20,8957;11,4850;0,0144;0,9650;0,1604;-14,9863;-37,6337;-1,0483;-0,0262;0,9769;0,2083;-14,9863;-37,6337;-1,0483
52;6,297663;0;0;0;0;0;0;0;0;0;0;0;0;-0,1372;0,6979;-0,1314;8,2469;-20,8843;11,5072;-0,1557;0,6851;-0,0720;8,2469;-20,8843;11,5072;0,0142;0,9649;0,1601;-15,1084;-37,7051;-0,8761;-0,0264;0,9768;0,2080;-15,1084;-37,7051;-0,8761
53;6,339226;0;0;0;0;0;0;0;0;0;0;0;0;-0,1376;0,6973;-0,1316;7,9611;-20,7350;11,4812;-0,1559;0,6848;-0,0720;7,9611;-20,7350;11,4812;0,0137;0,9650;0,1600;-15,2893;-37,7265;-0,7369;-0,0269;0,9771;0,2077;-15,2893;-37,7265;-0,7369
54;6,367323;0;0;0;0;0;0;0;0;0;0;0;0;-0,1379;0,6965;-0,1316;7,5071;-20,3841;11,3715;-0,1559;0,6845;-0,0719;7,5071;-20,3841;11,3715;0,0131;0,9654;0,1604;-15,3330;-37,6964;-0,7169;-0,0275;0,9776;0,2082;-15,3330;-37,6964;-0,7169
55;6,395157;0;0;0;0;0;0;0;0;0;0;0;0;-0,1380;0,6964;-0,1316;7,5349;-20,3868;11,4153;-0,1560;0,6843;-0,0719;7,5349;-20,3868;11,4153;0,0130;0,9659;0,1604;-15,3908;-37,6589;-0,7742;-0,0275;0,9782;0,2081;-15,3908;-37,6589;-0,7742
56;6,422922;0;0;0;0;0;0;0;0;0;0;0;0;-0,1380;0,6968;-0,1316;7,5591;-20,4345;11,5356;-0,1561;0,6847;-0,0719;7,5591;-20,4345;11,5356;0,0129;0,9673;0,1602;-15,5701;-37,5246;-1,1915;-0,0275;0,9798;0,2080;-15,5701;-37,5246;-1,1915
57;6,450705;0;0;0;0;0;0;0;0;0;0;0;0;-0,1381;0,6972;-0,1316;7,7214;-20,5136;11,7003;-0,1562;0,6850;-0,0720;7,7214;-20,5136;11,7003;0,0127;0,9696;0,1589;-15,8815;-36,8687;-2,6697;-0,0273;0,9826;0,2070;-15,8815;-36,8687;-2,6697
58;6,478622;0;0;0;0;0;0;0;0;0;0;0;0;-0,1384;0,6979;-0,1314;7,9048;-20,5712;11,7575;-0,1566;0,6855;-0,0718;7,9048;-20,5712;11,7575;0,0125;0,9707;0,1587;-16,1372;-36,2769;-4,4832;-0,0270;0,9840;0,2071;-16,1372;-36,2769;-4,4832
59;6,506624;0;0;0;0;0;0;0;0;0;0;0;0;-0,1388;0,6986;-0,1313;8,0173;-20,5981;11,7320;-0,1569;0,6861;-0,0718;8,0173;-20,5981;11,7320;0,0126;0,9713;0,1595;-16,2123;-35,8376;-6,5757;-0,0267;0,9848;0,2080;-16,2123;-35,8376;-6,5757
60;6,534473;0;0;0;0;0;0;0;0;0;0;0;0;-0,1390;0,6987;-0,1313;8,0379;-20,5704;11,7131;-0,1572;0,6862;-0,0717;8,0379;-20,5704;11,7131;0,0133;0,9768;0,1619;-16,3529;-35,8376;-12,9469;-0,0262;0,9908;0,2100;-16,3529;-35,8376;-12,9469
61;6,56212;0;0;0;0;0;0;0;0;0;0;0;0;-0,1392;0,6985;-0,1312;8,0270;-20,5387;11,6702;-0,1574;0,6860;-0,0716;8,0270;-20,5387;11,6702;0,0124;0,9799;0,1651;-16,0074;-35,5969;-20,4675;-0,0273;0,9941;0,2131;-16,0074;-35,5969;-20,4675
62;6,590036;0;0;0;0;0;0;0;0;0;0;0;0;-0,1395;0,6983;-0,1312;7,9593;-20,4183;11,7467;-0,1575;0,6858;-0,0715;7,9593;-20,4183;11,7467;0,0124;0,9820;0,1673;-16,1118;-35,2100;-27,2976;-0,0272;0,9967;0,2153;-16,1118;-35,2100;-27,2976
63;6,617769;0;0;0;0;0;0;0;0;0;0;0;0;-0,1396;0,6982;-0,1312;7,9461;-20,3088;11,9390;-0,1575;0,6858;-0,0715;7,9461;-20,3088;11,9390;0,0120;0,9821;0,1672;-16,3311;-33,3517;-29,9518;-0,0261;0,9972;0,2164;-16,3311;-33,3517;-29,9518
64;6,645699;0;0;0;0;0;0;0;0;0;0;0;0;-0,1396;0,6982;-0,1313;7,9614;-20,2590;12,0224;-0,1574;0,6858;-0,0716;7,9614;-20,2590;12,0224;0,0117;0,9820;0,1666;-16,4959;-32,0370;-30,3747;-0,0253;0,9973;0,2166;-16,4959;-32,0370;-30,3747
65;6,673561;0;0;0;0;0;0;0;0;0;0;0;0;-0,1395;0,6982;-0,1311;7,9639;-20,2091;12,0190;-0,1572;0,6857;-0,0714;7,9639;-20,2091;12,0190;0,0118;0,9819;0,1663;-16,8888;-31,2681;-33,6204;-0,0245;0,9978;0,2166;-16,8888;-31,2681;-33,6204
66;6,70125;0;0;0;0;0;0;0;0;0;0;0;0;-0,1395;0,6978;-0,1311;7,9028;-20,1770;12,0123;-0,1572;0,6854;-0,0713;7,9028;-20,1770;12,0123;0,0119;0,9819;0,1663;-16,3531;-30,2158;-41,3300;-0,0238;0,9979;0,2171;-16,3531;-30,2158;-41,3300
67;6,729225;0;0;0;0;0;0;0;0;0;0;0;0;-0,1395;0,6972;-0,1307;7,7147;-20,1259;12,0697;-0,1572;0,6850;-0,0709;7,7147;-20,1259;12,0697;0,0129;0,9812;0,1666;-15,5233;-29,6379;-49,8315;-0,0226;0,9969;0,2178;-15,5233;-29,6379;-49,8315
68;6,75713;0;0;0;0;0;0;0;0;0;0;0;0;-0,1392;0,6970;-0,1307;7,6308;-20,1687;12,1566;-0,1569;0,6850;-0,0709;7,6308;-20,1687;12,1566;0,0161;0,9780;0,1671;-16,8630;-31,0029;-54,0862;-0,0204;0,9955;0,2170;-16,8630;-31,0029;-54,0862
69;6,784883;0;0;0;0;0;0;0;0;0;0;0;0;-0,1389;0,6973;-0,1307;7,6101;-20,1901;12,4257;-0,1566;0,6852;-0,0709;7,6101;-20,1901;12,4257;0,0181;0,9758;0,1673;-18,0536;-32,1215;-57,0694;-0,0192;0,9949;0,2161;-18,0536;-32,1215;-57,0694
70;6,812786;0;0;0;0;0;0;0;0;0;0;0;0;-0,1391;0,6974;-0,1311;7,6067;-20,1505;12,4514;-0,1568;0,6854;-0,0713;7,6067;-20,1505;12,4514;0,0183;0,9756;0,1672;-19,8635;-31,4842;-60,2402;-0,0181;0,9968;0,2158;-19,8635;-31,4842;-60,2402
71;6,840666;0;0;0;0;0;0;0;0;0;0;0;0;-0,1394;0,6976;-0,1310;7,5877;-20,0492;12,4459;-0,1570;0,6855;-0,0712;7,5877;-20,0492;12,4459;0,0176;0,9754;0,1674;-21,3290;-30,6845;-69,3196;-0,0177;0,9990;0,2157;-21,3290;-30,6845;-69,3196
72;6,868494;0;0;0;0;0;0;0;0;0;0;0;0;-0,1398;0,6976;-0,1312;7,6330;-20,0076;12,4208;-0,1574;0,6856;-0,0713;7,6330;-20,0076;12,4208;0,0141;0,9764;0,1695;-20,8208;-28,3850;-72,6553;-0,0193;0,9997;0,2193;-20,8208;-28,3850;-72,6553
73;6,896156;0;0;0;0;0;0;0;0;0;0;0;0;-0,1401;0,6978;-0,1314;7,6536;-19,9910;12,4558;-0,1576;0,6857;-0,0715;7,6536;-19,9910;12,4558;0,0107;0,9779;0,1723;-21,0034;-27,6577;-73,7607;-0,0221;1,0014;0,2224;-21,0034;-27,6577;-73,7607
74;6,925591;0;0;0;0;0;0;0;0;0;0;0;0;-0,1399;0,6981;-0,1316;7,7562;-20,0377;12,7625;-0,1575;0,6860;-0,0717;7,7562;-20,0377;12,7625;0,0088;0,9775;0,1741;-20,7603;-27,0025;-73,6121;-0,0234;1,0008;0,2247;-20,7603;-27,0025;-73,6121
75;6,951963;0;0;0;0;0;0;0;0;0;0;0;0;-0,1398;0,6984;-0,1316;7,7718;-20,1288;12,9740;-0,1575;0,6862;-0,0718;7,7718;-20,1288;12,9740;0,0095;0,9770;0,1745;-20,5539;-26,6925;-74,9865;-0,0224;1,0004;0,2252;-20,5539;-26,6925;-74,9865
76;6,979568;0;0;0;0;0;0;0;0;0;0;0;0;-0,1401;0,6981;-0,1315;7,7394;-20,0798;13,0089;-0,1577;0,6860;-0,0717;7,7394;-20,0798;13,0089;0,0106;0,9775;0,1758;-20,6312;-26,1175;-77,0801;-0,0206;1,0011;0,2267;-20,6312;-26,1175;-77,0801
77;7,008017;0;0;0;0;0;0;0;0;0;0;0;0;-0,1404;0,6980;-0,1316;7,6390;-19,9431;13,1207;-0,1579;0,6859;-0,0717;7,6390;-19,9431;13,1207;0,0113;0,9780;0,1768;-20,8490;-25,4928;-79,3628;-0,0192;1,0021;0,2280;-20,8490;-25,4928;-79,3628
78;7,035971;0;0;0;0;0;0;0;0;0;0;0;0;-0,1406;0,6976;-0,1317;7,4359;-19,7452;13,2639;-0,1578;0,6858;-0,0717;7,4359;-19,7452;13,2639;0,0115;0,9770;0,1768;-20,6585;-25,1185;-80,1377;-0,0187;1,0009;0,2282;-20,6585;-25,1185;-80,1377
