Frame;Time;Acc1X;Acc1Y;Acc1Z;Gy1X;Gy1Y;Gy1Z;Acc2X;Acc2Y;Acc2Z;Gy2X;Gy2Y;Gy2Z;WristLX;WristLY;WristLZ;WristLRotX;WristLRotY;WristLRotZ;PalmLX;PalmLY;PalmLZ;PalmLRotX;PalmLRotY;PalmLRotZ;WristRX;WristRY;WristRZ;WristRRotX;WristRRotY;WristRRotZ;PalmRX;PalmRY;PalmRZ;PalmRRotX;PalmRRotY;PalmRRotZ
1;4,999575;0;0;0;0;0;0;0;0;0;0;0;0;-0,1882;0,9038;-0,1262;-24,4827;-24,9762;57,4545;-0,2079;0,9293;-0,0704;-24,4827;-24,9762;57,4545;0,0271;0,9948;0,2546;-7,6150;-11,1419;-4,3023;0,0117;0,9986;0,3165;-7,6150;-11,1419;-4,3023
2;5,02725;0;0;0;0;0;0;0;0;0;0;0;0;-0,1853;0,9020;-0,1279;-26,1082;-24,0106;56,4597;-0,2039;0,9290;-0,0725;-26,1082;-24,0106;56,4597;0,0282;0,9956;0,2543;-7,8359;-12,0463;-3,9279;0,0118;0,9996;0,3160;-7,8359;-12,0463;-3,9279
3;5,05504;0;0;0;0;0;0;0;0;0;0;0;0;-0,1728;0,9001;-0,1355;-26,4680;-23,9421;56,1421;-0,1913;0,9276;-0,0802;-26,4680;-23,9421;56,1421;0,0293;0,9957;0,2543;-7,9725;-13,1593;-4,0896;0,0118;0,9999;0,3156;-7,9725;-13,1593;-4,0896
4;5,083158;0;0;0;0;0;0;0;0;0;0;0;0;-0,1653;0,8974;-0,1400;-26,6885;-24,3861;55,8290;-0,1841;0,9251;-0,0849;-26,6885;-24,3861;55,8290;0,0296;0,9960;0,2539;-7,7984;-13,3861;-4,4286;0,0118;1,0001;0,3151;-7,7984;-13,3861;-4,4286
5;5,1108;0;0;0;0;0;0;0;0;0;0;0;0;-0,1619;0,8943;-0,1436;-27,0763;-24,8323;54,8427;-0,1811;0,9223;-0,0888;-27,0763;-24,8323;54,8427;0,0296;0,9963;0,2538;-7,5811;-13,4801;-4,5954;0,0117;1,0002;0,3150;-7,5811;-13,4801;-4,5954
6;5,138834;0;0;0;0;0;0;0;0;0;0;0;0;-0,1599;0,8889;-0,1479;-27,4633;-24,9130;53,2077;-0,1792;0,9171;-0,0932;-27,4633;-24,9130;53,2077;0,0293;0,9962;0,2536;-7,3173;-13,6662;-4,4615;0,0112;0,9997;0,3149;-7,3173;-13,6662;-4,4615
7;5,166578;0;0;0;0;0;0;0;0;0;0;0;0;-0,1572;0,8833;-0,1530;-28,1121;-24,9082;51,6464;-0,1764;0,9120;-0,0986;-28,1121;-24,9082;51,6464;0,0294;0,9958;0,2536;-7,4273;-15,0220;-4,3763;0,0099;0,9994;0,3144;-7,4273;-15,0220;-4,3763
8;5,194273;0;0;0;0;0;0;0;0;0;0;0;0;-0,1547;0,8821;-0,1550;-29,3944;-24,7978;49,8955;-0,1736;0,9120;-0,1012;-29,3944;-24,7978;49,8955;0,0305;0,9938;0,2527;-8,3660;-17,4748;-4,2038;0,0084;0,9985;0,3126;-8,3660;-17,4748;-4,2038
9;5,222025;0;0;0;0;0;0;0;0;0;0;0;0;-0,1470;0,8821;-0,1597;-30,5239;-24,5330;49,3215;-0,1653;0,9131;-0,1063;-30,5239;-24,5330;49,3215;0,0314;0,9925;0,2520;-9,1708;-19,7794;-3,6797;0,0070;0,9980;0,3108;-9,1708;-19,7794;-3,6797
10;5,249884;0;0;0;0;0;0;0;0;0;0;0;0;-0,1397;0,8856;-0,1642;-31,5305;-24,7763;49,5727;-0,1580;0,9175;-0,1114;-31,5305;-24,7763;49,5727;0,0314;0,9919;0,2517;-9,7110;-20,5403;-2,9652;0,0063;0,9980;0,3102;-9,7110;-20,5403;-2,9652
