Frame;Time;Acc1X;Acc1Y;Acc1Z;Gy1X;Gy1Y;Gy1Z;Acc2X;Acc2Y;Acc2Z;Gy2X;Gy2Y;Gy2Z;WristLX;WristLY;WristLZ;WristLRotX;WristLRotY;WristLRotZ;PalmLX;PalmLY;PalmLZ;PalmLRotX;PalmLRotY;PalmLRotZ;WristRX;WristRY;WristRZ;WristRRotX;WristRRotY;WristRRotZ;PalmRX;PalmRY;PalmRZ;PalmRRotX;PalmRRotY;PalmRRotZ
1;5,32967;0;0;0;0;0;0;0;0;0;0;0;0;-0,1474;0,6992;0,0761;7,0355;47,3959;27,2529;-0,0981;0,6889;0,1149;7,0355;47,3959;27,2529;0,0167;0,9687;0,2559;-11,5072;-8,8081;4,5812;0,0046;0,9765;0,3181;-11,5072;-8,8081;4,5812
2;5,357201;0;0;0;0;0;0;0;0;0;0;0;0;-0,1471;0,6995;0,0761;7,5476;47,1188;27,1526;-0,0981;0,6886;0,1151;7,5476;47,1188;27,1526;0,0173;0,9702;0,2533;-12,1916;-8,7251;4,7415;0,0053;0,9787;0,3155;-12,1916;-8,7251;4,7415
3;5,384819;0;0;0;0;0;0;0;0;0;0;0;0;-0,1466;0,6997;0,0764;8,6273;46,4876;24,8700;-0,0983;0,6874;0,1158;8,6273;46,4876;24,8700;0,0182;0,9727;0,2528;-12,1428;-8,4701;5,0279;0,0065;0,9811;0,3151;-12,1428;-8,4701;5,0279
4;5,41301;0;0;0;0;0;0;0;0;0;0;0;0;-0,1466;0,6995;0,0764;8,7098;46,2576;23,2710;-0,0985;0,6870;0,1161;8,7098;46,2576;23,2710;0,0193;0,9802;0,2485;-11,7338;-7,7454;5,3261;0,0085;0,9882;0,3111;-11,7338;-7,7454;5,3261
5;5,440678;0;0;0;0;0;0;0;0;0;0;0;0;-0,1468;0,6993;0,0766;8,6010;46,3409;23,1738;-0,0986;0,6869;0,1162;8,6010;46,3409;23,1738;0,0224;0,9882;0,2388;-10,9143;-6,5291;5,2260;0,0129;0,9952;0,3017;-10,9143;-6,5291;5,2260
6;5,46846;0;0;0;0;0;0;0;0;0;0;0;0;-0,1468;0,6990;0,0768;8,5351;46,3786;23,1321;-0,0986;0,6867;0,1164;8,5351;46,3786;23,1321;0,0257;0,9917;0,2343;-10,1319;-5,5254;4,6938;0,0172;0,9979;0,2975;-10,1319;-5,5254;4,6938
7;5,496296;0;0;0;0;0;0;0;0;0;0;0;0;-0,1470;0,6991;0,0769;8,5823;46,4039;23,1997;-0,0988;0,6868;0,1164;8,5823;46,4039;23,1997;0,0314;0,9909;0,2335;-9,0080;-5,5613;4,8323;0,0230;0,9958;0,2968;-9,0080;-5,5613;4,8323
8;5,524052;0;0;0;0;0;0;0;0;0;0;0;0;-0,1470;0,6993;0,0770;8,8045;46,2022;23,1689;-0,0990;0,6867;0,1167;8,8045;46,2022;23,1689;0,0382;0,9918;0,2307;-9,2203;-4,5039;6,2742;0,0311;0,9968;0,2942;-9,2203;-4,5039;6,2742
9;5,552174;0;0;0;0;0;0;0;0;0;0;0;0;-0,1471;0,6993;0,0770;9,3674;45,6305;23,0590;-0,0996;0,6861;0,1171;9,3674;45,6305;23,0590;0,0419;0,9924;0,2282;-9,5490;-3,0517;8,2159;0,0366;0,9978;0,2918;-9,5490;-3,0517;8,2159
10;5,579712;0;0;0;0;0;0;0;0;0;0;0;0;-0,1467;0,6992;0,0769;9,5904;45,0626;22,8730;-0,0997;0,6858;0,1174;9,5904;45,0626;22,8730;0,0463;0,9945;0,2264;-9,7067;-1,9741;8,9520;0,0423;1,0000;0,2901;-9,7067;-1,9741;8,9520
