Frame;Time;Acc1X;Acc1Y;Acc1Z;Gy1X;Gy1Y;Gy1Z;Acc2X;Acc2Y;Acc2Z;Gy2X;Gy2Y;Gy2Z;WristLX;WristLY;WristLZ;WristLRotX;WristLRotY;WristLRotZ;PalmLX;PalmLY;PalmLZ;PalmLRotX;PalmLRotY;PalmLRotZ;WristRX;WristRY;WristRZ;WristRRotX;WristRRotY;WristRRotZ;PalmRX;PalmRY;PalmRZ;PalmRRotX;PalmRRotY;PalmRRotZ
1;4,594688;0,155;-0,0364;0,125;-2,21;1,66;0,95;-0,4885;-0,7453;0,3572;-8,62;-8,65;-1,47;-0,3230;0,9160;-0,0377;-46,6575;-33,2294;88,0874;-0,3424;0,9646;0,0027;-46,6575;-33,2294;88,0874;0,0223;0,9699;0,2663;-2,5690;-4,4365;4,6277;0,0150;0,9675;0,3313;-2,5690;-4,4365;4,6277
2;4,622429;0,147;-0,0359;0,1243;-1,9;1,89;0,13;-0,468;-0,7397;0,366;-7,4;-4,27;-2,93;-0,3234;0,9159;-0,0376;-46,7312;-33,2109;87,7510;-0,3427;0,9645;0,0027;-46,7312;-33,2109;87,7510;0,0224;0,9700;0,2664;-2,3577;-4,3742;4,9130;0,0152;0,9673;0,3313;-2,3577;-4,3742;4,9130
3;4,650284;0,1553;-0,033;0,1265;-1,69;1,14;-1,1;-0,4704;-0,7424;0,3535;-7,93;-1,57;-2,33;-0,3237;0,9158;-0,0378;-46,7048;-33,1558;87,4567;-0,3430;0,9644;0,0026;-46,7048;-33,1558;87,4567;0,0224;0,9701;0,2663;-2,0970;-4,3529;5,3528;0,0154;0,9671;0,3312;-2,0970;-4,3529;5,3528
4;4,678143;0,1584;-0,031;0,1294;-1,75;-0,14;-2,26;-0,4919;-0,7451;0,364;-6,74;0,44;-1,91;-0,3240;0,9160;-0,0381;-46,3942;-33,0680;87,3138;-0,3433;0,9643;0,0025;-46,3942;-33,0680;87,3138;0,0225;0,9702;0,2663;-1,8562;-4,3977;5,8381;0,0154;0,9669;0,3312;-1,8562;-4,3977;5,8381
5;4,706375;0,1685;-0,0383;0,1233;-2,38;-1,62;-3,77;-0,4955;-0,7429;0,3611;-5,99;-1,75;-2,38;-0,3239;0,9161;-0,0381;-46,3079;-32,8415;87,2234;-0,3432;0,9644;0,0027;-46,3079;-32,8415;87,2234;0,0225;0,9703;0,2663;-1,7775;-4,3607;5,9179;0,0155;0,9670;0,3312;-1,7775;-4,3607;5,9179
6;4,734005;0,1746;-0,0391;0,1206;-2,94;-2,3;-5,45;-0,4899;-0,7399;0,3486;-5,69;-2,66;-2,74;-0,3240;0,9160;-0,0383;-46,2155;-32,8101;87,1711;-0,3433;0,9642;0,0025;-46,2155;-32,8101;87,1711;0,0226;0,9704;0,2664;-1,7593;-4,3560;5,9833;0,0156;0,9670;0,3313;-1,7593;-4,3560;5,9833
7;4,761742;0,1743;-0,0396;0,1172;-4,14;-3,18;-7,18;-0,4921;-0,7331;0,3416;-7,27;0,34;-1,41;-0,3240;0,9160;-0,0383;-46,2146;-32,8117;87,1036;-0,3433;0,9642;0,0026;-46,2146;-32,8117;87,1036;0,0232;0,9696;0,2669;-1,8354;-4,3603;5,9921;0,0161;0,9663;0,3318;-1,8354;-4,3603;5,9921
8;4,789867;0,1667;-0,0378;0,1052;-7,85;-4,09;-11,68;-0,4943;-0,7375;0,3335;-8,14;1,17;-0,85;-0,3242;0,9160;-0,0380;-46,1098;-32,7078;87,1529;-0,3435;0,9641;0,0029;-46,1098;-32,7078;87,1529;0,0239;0,9676;0,2675;-2,1181;-4,4014;6,0455;0,0168;0,9646;0,3324;-2,1181;-4,4014;6,0455
9;4,81752;0,1453;-0,0471;0,1201;-9,49;-6,31;-14,8;-0,486;-0,7416;0,3489;-8,26;1,73;0,21;-0,3244;0,9160;-0,0376;-45,8910;-32,5794;87,2158;-0,3437;0,9640;0,0035;-45,8910;-32,5794;87,2158;0,0247;0,9655;0,2676;-2,5083;-4,4273;6,0743;0,0177;0,9629;0,3325;-2,5083;-4,4273;6,0743
10;4,845337;0,1492;-0,0637;0,1584;-7,33;-0,07;-12,58;-0,4892;-0,7421;0,3472;-8,76;1,01;-0,02;-0,3243;0,9159;-0,0363;-45,8597;-32,5322;87,1433;-0,3435;0,9638;0,0048;-45,8597;-32,5322;87,1433;0,0249;0,9652;0,2675;-2,8615;-4,3996;6,0095;0,0178;0,9630;0,3325;-2,8615;-4,3996;6,0095
