Frame;Time;Acc1X;Acc1Y;Acc1Z;Gy1X;Gy1Y;Gy1Z;Acc2X;Acc2Y;Acc2Z;Gy2X;Gy2Y;Gy2Z;WristLX;WristLY;WristLZ;WristLRotX;WristLRotY;WristLRotZ;PalmLX;PalmLY;PalmLZ;PalmLRotX;PalmLRotY;PalmLRotZ;WristRX;WristRY;WristRZ;WristRRotX;WristRRotY;WristRRotZ;PalmRX;PalmRY;PalmRZ;PalmRRotX;PalmRRotY;PalmRRotZ
1;4,754732;1,019;0,6904;-0,6885;0,05;-0,51;0,31;0;-0,5656;0,3523;-8,96;3,86;-1,1;-0,2980;1,0032;0,0453;-58,7943;-26,5879;77,6088;-0,3078;1,0596;0,0780;-58,7943;-26,5879;77,6088;0,0253;0,9692;0,2791;-3,8833;-5,7967;2,0397;0,0161;0,9685;0,3436;-3,8833;-5,7967;2,0397
2;4,795827;1,0164;0,6919;-0,6973;1,31;2,76;2,68;0;-0,5847;0,355;-8,15;2,18;1,22;-0,2981;1,0036;0,0446;-58,6916;-26,4077;77,7769;-0,3078;1,0599;0,0774;-58,6916;-26,4077;77,7769;0,0247;0,9691;0,2793;-3,8453;-5,8035;1,6128;0,0155;0,9684;0,3438;-3,8453;-5,8035;1,6128
3;4,823965;1,0181;0,7048;-0,7029;1,42;1,28;2,93;0;-0,5676;0,3557;-8,66;-2,4;1,92;-0,2984;1,0035;0,0443;-58,3485;-26,0818;78,3010;-0,3080;1,0597;0,0774;-58,3485;-26,0818;78,3010;0,0245;0,9691;0,2791;-3,7740;-5,7787;1,3467;0,0152;0,9683;0,3437;-3,7740;-5,7787;1,3467
4;4,851612;1,0317;0,7034;-0,7068;1,34;0,39;2,26;0;-0,5737;0,3547;-8,93;-4,19;1,19;-0,2986;1,0037;0,0440;-58,3543;-26,2101;78,7109;-0,3082;1,0598;0,0771;-58,3543;-26,2101;78,7109;0,0242;0,9688;0,2791;-3,7514;-5,8147;1,3268;0,0149;0,9680;0,3437;-3,7514;-5,8147;1,3268
5;4,879604;1,033;0,7009;-0,709;0,47;-0,35;1,27;0;-0,5732;0,3528;-10,48;-1,19;-0,85;-0,2987;1,0040;0,0439;-58,4362;-26,1780;78,6238;-0,3083;1,0602;0,0770;-58,4362;-26,1780;78,6238;0,0239;0,9684;0,2791;-3,7302;-5,8745;1,2982;0,0146;0,9676;0,3436;-3,7302;-5,8745;1,2982
6;4,92123;1,0327;0,6934;-0,7041;-0,76;-2,63;-0,69;0;-0,5671;0,354;-10,78;2,6;-2,63;-0,2988;1,0038;0,0439;-58,5152;-26,3533;78,5898;-0,3085;1,0601;0,0769;-58,5152;-26,3533;78,5898;0,0239;0,9677;0,2793;-3,7250;-5,8897;1,3015;0,0146;0,9669;0,3438;-3,7250;-5,8897;1,3015
7;4,948997;1,0422;0,6875;-0,7083;-0,54;-2,12;-1,35;0;-0,5781;0,3684;-9,69;4,08;-4,25;-0,2989;1,0037;0,0438;-58,6832;-26,7484;78,3819;-0,3087;1,0601;0,0765;-58,6832;-26,7484;78,3819;0,0238;0,9674;0,2793;-3,6809;-5,9197;1,3282;0,0144;0,9665;0,3439;-3,6809;-5,9197;1,3282
8;4,97732;1,0278;0,6909;-0,7075;-1,55;0,44;-1,03;0;-0,5751;0,3704;-8,21;4,04;-4,76;-0,2988;1,0038;0,0436;-58,8214;-26,8902;78,1415;-0,3087;1,0602;0,0762;-58,8214;-26,8902;78,1415;0,0237;0,9672;0,2791;-3,6433;-5,9847;1,3372;0,0143;0,9663;0,3436;-3,6433;-5,9847;1,3372
9;5,004983;1,0247;0,6895;-0,7012;-1,69;-0,5;-0,87;0;-0,5573;0,3848;-5,92;3,83;-3,24;-0,2983;1,0034;0,0433;-58,7949;-27,3499;78,1331;-0,3085;1,0598;0,0758;-58,7949;-27,3499;78,1331;0,0240;0,9671;0,2789;-3,6315;-6,0054;1,3613;0,0145;0,9662;0,3434;-3,6315;-6,0054;1,3613
10;5,032854;1,0208;0,687;-0,6914;-1,56;-1,35;-0,56;0;-0,5544;0,3691;-3,15;8,42;-4,07;-0,2979;1,0034;0,0429;-58,6349;-27,2870;77,7790;-0,3081;1,0597;0,0755;-58,6349;-27,2870;77,7790;0,0242;0,9671;0,2786;-3,7077;-6,0157;1,2127;0,0147;0,9663;0,3431;-3,7077;-6,0157;1,2127
