Frame;Time;Acc1X;Acc1Y;Acc1Z;Gy1X;Gy1Y;Gy1Z;Acc2X;Acc2Y;Acc2Z;Gy2X;Gy2Y;Gy2Z;WristLX;WristLY;WristLZ;WristLRotX;WristLRotY;WristLRotZ;PalmLX;PalmLY;PalmLZ;PalmLRotX;PalmLRotY;PalmLRotZ;WristRX;WristRY;WristRZ;WristRRotX;WristRRotY;WristRRotZ;PalmRX;PalmRY;PalmRZ;PalmRRotX;PalmRRotY;PalmRRotZ
1;4,701693;0;0;0;0;0;0;0;-0,7497;-0,8616;-8,66;3,19;0,63;-0,3544;1,0626;0,0607;-53,6651;-1,0999;33,1801;-0,3505;1,1117;0,1010;-53,6651;-1,0999;33,1801;0,0147;0,9725;0,2796;-1,6726;-2,2684;7,7785;0,0101;0,9693;0,3425;-1,6726;-2,2684;7,7785
2;4,729297;0;0;0;0;0;0;0;-0,7385;-0,8464;-7,23;-0,92;0,15;-0,3538;1,0629;0,0606;-53,6761;-1,1013;33,1835;-0,3499;1,1120;0,1009;-53,6761;-1,1013;33,1835;0,0148;0,9726;0,2792;-1,6482;-2,2972;7,7763;0,0101;0,9694;0,3420;-1,6482;-2,2972;7,7763
3;4,757243;0;0;0;0;0;0;0;-0,7358;-0,8655;-7,1;-3,01;-0,6;-0,3533;1,0631;0,0603;-53,6614;-1,1069;33,1728;-0,3494;1,1122;0,1006;-53,6614;-1,1069;33,1728;0,0150;0,9727;0,2788;-1,6552;-2,3007;7,7328;0,0103;0,9695;0,3416;-1,6552;-2,3007;7,7328
4;4,784904;0;0;0;0;0;0;0;-0,7216;-0,8506;-8,76;-3,25;-0,84;-0,3532;1,0632;0,0599;-53,6375;-1,1155;33,1941;-0,3493;1,1123;0,1003;-53,6375;-1,1155;33,1941;0,0150;0,9727;0,2785;-1,7034;-2,3471;7,6815;0,0102;0,9695;0,3413;-1,7034;-2,3471;7,6815
5;4,812938;0;0;0;0;0;0;0;-0,7211;-0,8328;-9,28;-0,99;0,27;-0,3534;1,0632;0,0595;-53,6179;-1,1559;33,2278;-0,3496;1,1123;0,1000;-53,6179;-1,1559;33,2278;0,0153;0,9724;0,2785;-1,6689;-2,3505;7,7064;0,0105;0,9692;0,3413;-1,6689;-2,3505;7,7064
6;4,840653;0;0;0;0;0;0;0;-0,7253;-0,8301;-9,36;-0,87;-0,69;-0,3540;1,0629;0,0586;-53,5474;-1,2870;33,3847;-0,3503;1,1119;0,0991;-53,5474;-1,2870;33,3847;0,0155;0,9722;0,2788;-1,6585;-2,3527;7,6909;0,0107;0,9690;0,3416;-1,6585;-2,3527;7,6909
7;4,868653;0;0;0;0;0;0;0;-0,738;-0,8311;-8,37;1,33;-2,65;-0,3534;1,0633;0,0573;-53,2038;-2,1638;34,2779;-0,3503;1,1121;0,0981;-53,2038;-2,1638;34,2779;0,0155;0,9721;0,2790;-1,6845;-2,3048;7,6840;0,0107;0,9689;0,3418;-1,6845;-2,3048;7,6840
8;4,896385;0;0;0;0;0;0;0;-0,7319;-0,8281;-7,43;0,69;-2,37;-0,3517;1,0645;0,0567;-52,8924;-3,0969;35,0437;-0,3492;1,1132;0,0977;-52,8924;-3,0969;35,0437;0,0154;0,9721;0,2788;-1,7029;-2,3291;7,6566;0,0106;0,9690;0,3416;-1,7029;-2,3291;7,6566
9;4,924399;0;0;0;0;0;0;0;-0,7365;-0,8359;-6,8;0,4;-2,04;-0,3509;1,0651;0,0560;-52,5668;-4,1450;35,9060;-0,3491;1,1136;0,0972;-52,5668;-4,1450;35,9060;0,0153;0,9722;0,2787;-1,6920;-2,3506;7,6437;0,0105;0,9691;0,3415;-1,6920;-2,3506;7,6437
10;4,952426;0;0;0;0;0;0;0;-0,7355;-0,8459;-7,79;3,75;-0,44;-0,3507;1,0652;0,0553;-52,3190;-4,8175;36,5405;-0,3493;1,1135;0,0967;-52,3190;-4,8175;36,5405;0,0149;0,9725;0,2784;-1,6694;-2,3625;7,6472;0,0101;0,9693;0,3412;-1,6694;-2,3625;7,6472
11;4,980434;0;0;0;0;0;0;0;-0,7328;-0,8616;-8,85;6,8;-0,27;-0,3506;1,0653;0,0552;-52,2214;-4,8391;36,7581;-0,3492;1,1136;0,0966;-52,2214;-4,8391;36,7581;0,0142;0,9723;0,2779;-1,6865;-2,3201;7,5735;0,0094;0,9691;0,3407;-1,6865;-2,3201;7,5735
12;5,00818;0;0;0;0;0;0;0;-0,7387;-0,853;-9,98;10,33;0,85;-0,3505;1,0656;0,0551;-52,2228;-4,8798;36,7761;-0,3491;1,1139;0,0965;-52,2228;-4,8798;36,7761;0,0135;0,9720;0,2772;-1,7857;-2,2098;7,2887;0,0089;0,9690;0,3400;-1,7857;-2,2098;7,2887
13;5,035902;0;0;0;0;0;0;0;-0,7382;-0,8655;-11,31;21,61;0,74;-0,3504;1,0658;0,0548;-52,2255;-4,9503;36,8162;-0,3491;1,1141;0,0962;-52,2255;-4,9503;36,8162;0,0132;0,9717;0,2767;-2,0057;-2,0830;6,6019;0,0086;0,9689;0,3395;-2,0057;-2,0830;6,6019
14;5,063505;0;0;0;0;0;0;0;-0,7228;-0,8645;-12,85;24,95;-0,39;-0,3507;1,0657;0,0548;-52,1962;-4,9265;36,8368;-0,3494;1,1140;0,0962;-52,1962;-4,9265;36,8368;0,0133;0,9718;0,2769;-1,7037;-2,2470;4,3577;0,0083;0,9688;0,3397;-1,7037;-2,2470;4,3577
15;5,091624;0;0;0;0;0;0;0;-0,7231;-0,8423;-15,44;30,42;0,62;-0,3510;1,0658;0,0548;-52,1901;-4,8557;36,8231;-0,3496;1,1141;0,0962;-52,1901;-4,8557;36,8231;0,0130;0,9721;0,2774;-1,5034;-2,2937;2,3282;0,0078;0,9690;0,3402;-1,5034;-2,2937;2,3282
