Frame;Time;Acc1X;Acc1Y;Acc1Z;Gy1X;Gy1Y;Gy1Z;Acc2X;Acc2Y;Acc2Z;Gy2X;Gy2Y;Gy2Z;WristLX;WristLY;WristLZ;WristLRotX;WristLRotY;WristLRotZ;PalmLX;PalmLY;PalmLZ;PalmLRotX;PalmLRotY;PalmLRotZ;WristRX;WristRY;WristRZ;WristRRotX;WristRRotY;WristRRotZ;PalmRX;PalmRY;PalmRZ;PalmRRotX;PalmRRotY;PalmRRotZ
1;4,946447;0;0;0;0;0;0;0;0;0;0;0;0;-0,1987;0,9239;0,2736;-13,7073;3,5672;4,9690;-0,1913;0,9349;0,3366;-13,7073;3,5672;4,9690;0,0399;0,8348;0,4980;1,9078;-1,9547;-11,2911;0,0341;0,8282;0,5622;1,9078;-1,9547;-11,2911
2;4,974449;0;0;0;0;0;0;0;0;0;0;0;0;-0,1989;0,9242;0,2736;-13,9791;3,8936;5,0658;-0,1911;0,9355;0,3365;-13,9791;3,8936;5,0658;0,0403;0,8348;0,4977;0,7077;-1,4010;-11,7983;0,0350;0,8296;0,5621;0,7077;-1,4010;-11,7983
3;5,00178;0;0;0;0;0;0;0;0;0;0;0;0;-0,1990;0,9244;0,2735;-13,9979;3,9232;5,0644;-0,1912;0,9358;0,3364;-13,9979;3,9232;5,0644;0,0406;0,8355;0,4973;-0,7846;-1,2088;-12,0768;0,0356;0,8321;0,5618;-0,7846;-1,2088;-12,0768
4;5,029778;0;0;0;0;0;0;0;0;0;0;0;0;-0,1990;0,9245;0,2732;-14,2086;3,9505;5,1198;-0,1911;0,9361;0,3360;-14,2086;3,9505;5,1198;0,0404;0,8367;0,4969;-1,3904;-1,0225;-11,8939;0,0356;0,8339;0,5615;-1,3904;-1,0225;-11,8939
5;5,059719;0;0;0;0;0;0;0;0;0;0;0;0;-0,1990;0,9250;0,2730;-14,4856;3,9350;5,2485;-0,1912;0,9369;0,3357;-14,4856;3,9350;5,2485;0,0403;0,8369;0,4970;-1,3806;-0,9922;-11,8641;0,0355;0,8342;0,5616;-1,3806;-0,9922;-11,8641
6;5,085543;0;0;0;0;0;0;0;0;0;0;0;0;-0,1988;0,9260;0,2725;-14,6827;3,9852;5,2211;-0,1909;0,9382;0,3352;-14,6827;3,9852;5,2211;0,0396;0,8388;0,4958;-1,3698;-0,8104;-14,1067;0,0348;0,8362;0,5604;-1,3698;-0,8104;-14,1067
7;5,113697;0;0;0;0;0;0;0;0;0;0;0;0;-0,1981;0,9275;0,2717;-14,7149;4,0358;5,1525;-0,1902;0,9396;0,3344;-14,7149;4,0358;5,1525;0,0398;0,8403;0,4945;-0,7175;-0,3886;-16,8839;0,0353;0,8371;0,5590;-0,7175;-0,3886;-16,8839
8;5,14146;0;0;0;0;0;0;0;0;0;0;0;0;-0,1976;0,9285;0,2715;-14,7056;4,0313;5,1023;-0,1897;0,9407;0,3342;-14,7056;4,0313;5,1023;0,0407;0,8410;0,4938;-0,2329;-0,1063;-17,9752;0,0365;0,8373;0,5583;-0,2329;-0,1063;-17,9752
9;5,16946;0;0;0;0;0;0;0;0;0;0;0;0;-0,1967;0,9300;0,2711;-14,6727;4,0455;5,0374;-0,1888;0,9421;0,3338;-14,6727;4,0455;5,0374;0,0416;0,8413;0,4932;0,1422;-0,0532;-18,5273;0,0374;0,8373;0,5578;0,1422;-0,0532;-18,5273
10;5,197109;0;0;0;0;0;0;0;0;0;0;0;0;-0,1945;0,9323;0,2704;-14,6556;4,2004;4,6604;-0,1864;0,9444;0,3331;-14,6556;4,2004;4,6604;0,0428;0,8408;0,4928;0,1317;-0,0329;-18,4789;0,0386;0,8367;0,5573;0,1317;-0,0329;-18,4789
