Frame;Time;Acc1X;Acc1Y;Acc1Z;Gy1X;Gy1Y;Gy1Z;Acc2X;Acc2Y;Acc2Z;Gy2X;Gy2Y;Gy2Z;WristLX;WristLY;WristLZ;WristLRotX;WristLRotY;WristLRotZ;PalmLX;PalmLY;PalmLZ;PalmLRotX;PalmLRotY;PalmLRotZ;WristRX;WristRY;WristRZ;WristRRotX;WristRRotY;WristRRotZ;PalmRX;PalmRY;PalmRZ;PalmRRotX;PalmRRotY;PalmRRotZ
1;5,129282;-0,0215;-0,0242;-0,0212;-0,5;-0,33;-4,45;0;-0,0024;0,0088;-8,33;-1,32;-1,13;-0,1300;0,8975;0,2727;-4,4014;10,8850;0,0865;-0,1149;0,8976;0,3354;-4,4014;10,8850;0,0865;0,0763;0,8565;0,5099;-2,3475;-13,7518;-19,4747;0,0579;0,8540;0,5729;-2,3475;-13,7518;-19,4747
2;5,157172;-0,0215;-0,0242;-0,0212;-0,5;-0,33;-4,45;0;-0,0024;0,0088;-8,33;-1,32;-1,13;-0,1304;0,8977;0,2726;-4,2990;10,8135;0,1292;-0,1154;0,8978;0,3354;-4,2990;10,8135;0,1292;0,0785;0,8582;0,5119;2,3121;-17,1488;-11,8868;0,0572;0,8500;0,5735;2,3121;-17,1488;-11,8868
3;5,186141;-0,0215;-0,0242;-0,0212;-0,5;-0,33;-4,45;0;-0,0024;0,0088;-8,33;-1,32;-1,13;-0,1308;0,8976;0,2726;-4,2510;10,7209;0,1061;-0,1159;0,8976;0,3354;-4,2510;10,7209;0,1061;0,0782;0,8590;0,5117;3,1692;-19,9735;-6,9499;0,0544;0,8497;0,5722;3,1692;-19,9735;-6,9499
4;5,212795;-0,0215;-0,0242;-0,0212;-0,5;-0,33;-4,45;0;-0,0024;0,0088;-8,33;-1,32;-1,13;-0,1313;0,8974;0,2727;-4,2254;10,6568;0,0441;-0,1164;0,8974;0,3355;-4,2254;10,6568;0,0441;0,0777;0,8598;0,5112;3,9679;-21,7925;-3,8988;0,0523;0,8494;0,5709;3,9679;-21,7925;-3,8988
5;5,240738;-0,0215;-0,0242;-0,0212;-0,5;-0,33;-4,45;0;-0,0024;0,0088;-8,33;-1,32;-1,13;-0,1317;0,8969;0,2728;-4,3667;10,5285;-0,1189;-0,1170;0,8971;0,3357;-4,3667;10,5285;-0,1189;0,0770;0,8599;0,5104;3,9274;-22,1574;-3,6874;0,0512;0,8496;0,5700;3,9274;-22,1574;-3,6874
6;5,268493;-0,0215;-0,0242;-0,0212;-0,5;-0,33;-4,45;0;-0,0024;0,0088;-8,33;-1,32;-1,13;-0,1326;0,8966;0,2732;-4,4125;10,4626;-0,1142;-0,1179;0,8968;0,3361;-4,4125;10,4626;-0,1142;0,0741;0,8595;0,5072;4,0104;-21,7701;-4,0245;0,0486;0,8492;0,5667;4,0104;-21,7701;-4,0245
7;5,296346;-0,0215;-0,0242;-0,0212;-0,5;-0,33;-4,45;0;-0,0024;0,0088;-8,33;-1,32;-1,13;-0,1333;0,8965;0,2735;-4,4622;10,4068;-0,0882;-0,1188;0,8968;0,3364;-4,4622;10,4068;-0,0882;0,0718;0,8575;0,5036;4,0924;-20,1566;-5,7128;0,0476;0,8473;0,5636;4,0924;-20,1566;-5,7128
8;5,324474;-0,0549;-0,0212;-0,0022;-8,06;2,45;3,5;0;0;0,0134;-8,12;-1,47;-1,11;-0,1338;0,8963;0,2735;-4,6601;10,3959;-0,0637;-0,1192;0,8968;0,3364;-4,6601;10,3959;-0,0637;0,0714;0,8543;0,5005;4,1239;-17,6537;-8,1684;0,0494;0,8442;0,5613;4,1239;-17,6537;-8,1684
9;5,352283;-0,0549;-0,0212;-0,0022;-8,06;2,45;3,5;0;0,0029;0,0122;-8;-1,34;-1,18;-0,1342;0,8962;0,2736;-5,0411;10,4160;-0,0870;-0,1197;0,8972;0,3365;-5,0411;10,4160;-0,0870;0,0734;0,8521;0,4872;4,6989;-15,1145;-8,8527;0,0540;0,8416;0,5487;4,6989;-15,1145;-8,8527
10;5,380079;0,0037;-0,0183;-0,0037;-2,12;2,37;3,46;0;0,0029;0,0122;-8;-1,34;-1,18;-0,1347;0,8960;0,2737;-5,4980;10,3685;-0,1666;-0,1202;0,8974;0,3365;-5,4980;10,3685;-0,1666;0,0740;0,8515;0,4773;5,9364;-12,2932;-8,1191;0,0576;0,8397;0,5393;5,9364;-12,2932;-8,1191
11;5,407998;0,0029;-0,0151;-0,001;-2,74;-0,51;1,51;0;-0,0059;0,0149;-8,68;-1,29;-1,31;-0,1353;0,8956;0,2741;-5,8371;10,3422;-0,7426;-0,1208;0,8973;0,3369;-5,8371;10,3422;-0,7426;0,0696;0,8493;0,4690;7,2360;-8,1109;-6,4041;0,0579;0,8360;0,5318;7,2360;-8,1109;-6,4041
12;5,435661;0,0029;-0,0151;-0,001;-2,74;-0,51;1,51;0;-0,0059;0,0149;-8,68;-1,29;-1,31;-0,1359;0,8941;0,2737;-6,1537;10,2531;-0,9785;-0,1216;0,8962;0,3366;-6,1537;10,2531;-0,9785;0,0656;0,8459;0,4654;7,2676;-6,2095;-5,9717;0,0560;0,8325;0,5285;7,2676;-6,2095;-5,9717
13;5,463448;0,0029;-0,0151;-0,001;-2,74;-0,51;1,51;0;-0,0059;0,0149;-8,68;-1,29;-1,31;-0,1365;0,8925;0,2729;-6,4839;10,1509;-0,8912;-0,1223;0,8950;0,3358;-6,4839;10,1509;-0,8912;0,0643;0,8442;0,4629;7,0229;-5,3490;-5,7022;0,0557;0,8311;0,5262;7,0229;-5,3490;-5,7022
14;5,491364;0,0029;-0,0151;-0,001;-2,74;-0,51;1,51;0;-0,0059;0,0149;-8,68;-1,29;-1,31;-0,1367;0,8921;0,2723;-6,6683;10,0453;-0,6082;-0,1226;0,8948;0,3352;-6,6683;10,0453;-0,6082;0,0658;0,8426;0,4616;6,7987;-4,9230;-5,6462;0,0576;0,8297;0,5250;6,7987;-4,9230;-5,6462
15;5,519496;0,0105;0,0188;0,0166;-0,16;-1,18;-1,03;0;-0,002;0,0122;-8,15;-1,3;-1,27;-0,1367;0,8920;0,2719;-6,7138;9,9805;-0,4287;-0,1227;0,8948;0,3348;-6,7138;9,9805;-0,4287;0,0680;0,8413;0,4586;6,6713;-4,2834;-5,5919;0,0606;0,8286;0,5222;6,6713;-4,2834;-5,5919
16;5,54726;0,002;0,0063;0,0095;0,27;-2,84;-0,03;0;-0,002;0,0122;-8,15;-1,3;-1,27;-0,1366;0,8922;0,2718;-6,6504;9,9546;-0,4079;-0,1225;0,8949;0,3348;-6,6504;9,9546;-0,4079;0,0707;0,8416;0,4542;6,5795;-3,4417;-5,7856;0,0642;0,8291;0,5178;6,5795;-3,4417;-5,7856
17;5,575324;0,0002;0,0029;0,0093;0,77;-3,76;-0,18;0;0,0005;0,0093;-8,46;-1,3;-1,1;-0,1362;0,8923;0,2721;-6,5543;9,9835;-0,4586;-0,1222;0,8949;0,3351;-6,5543;9,9835;-0,4586;0,0765;0,8434;0,4512;7,0109;-1,8382;-7,7567;0,0716;0,8305;0,5149;7,0109;-1,8382;-7,7567
18;5,603213;-0,0161;-0,0044;0,0144;3,21;-1,56;0,92;0;-0,0032;0,0146;-8,29;-1,4;-1,27;-0,1353;0,8928;0,2728;-6,3988;10,0954;-0,5705;-0,1212;0,8952;0,3358;-6,3988;10,0954;-0,5705;0,0843;0,8485;0,4490;7,3362;0,6172;-11,8799;0,0817;0,8354;0,5128;7,3362;0,6172;-11,8799
19;5,630692;-0,0161;-0,0044;0,0144;3,21;-1,56;0,92;0;-0,0032;0,0146;-8,29;-1,4;-1,27;-0,1343;0,8937;0,2731;-6,3593;10,0998;-0,5347;-0,1201;0,8961;0,3360;-6,3593;10,0998;-0,5347;0,0913;0,8492;0,4480;7,0106;2,1783;-13,8774;0,0903;0,8366;0,5119;7,0106;2,1783;-13,8774
20;5,658546;-0,0161;-0,0044;0,0144;3,21;-1,56;0,92;0;-0,0032;0,0146;-8,29;-1,4;-1,27;-0,1324;0,8945;0,2732;-6,2793;10,1177;-0,5190;-0,1182;0,8968;0,3361;-6,2793;10,1177;-0,5190;0,0961;0,8486;0,4462;6,3142;3,5401;-15,1169;0,0965;0,8369;0,5103;6,3142;3,5401;-15,1169
21;5,686604;-0,0259;-0,0085;0,0049;3,45;-4,63;0,62;0;-0,0054;0,0098;-8,36;-1,24;-1,26;-0,1316;0,8948;0,2735;-6,1106;10,1400;-0,4441;-0,1174;0,8969;0,3365;-6,1106;10,1400;-0,4441;0,0993;0,8473;0,4442;6,2421;3,8750;-15,1717;0,1001;0,8356;0,5083;6,2421;3,8750;-15,1717
22;5,714419;-0,0283;-0,0054;0,0027;4,56;-3,24;0,44;0;0,0005;0,0134;-8,47;-1,32;-1,28;-0,1307;0,8952;0,2738;-5,8586;10,2131;-0,3545;-0,1164;0,8971;0,3367;-5,8586;10,2131;-0,3545;0,1006;0,8469;0,4435;6,3156;3,8591;-15,1345;0,1014;0,8352;0,5076;6,3156;3,8591;-15,1345
23;5,742403;-0,0305;-0,0154;-0,009;4,45;-2,72;0,94;0;-0,0005;0,0083;-8,44;-1,17;-1,28;-0,1283;0,8983;0,2739;-5,0784;10,2773;-0,3364;-0,1139;0,8992;0,3369;-5,0784;10,2773;-0,3364;0,1030;0,8474;0,4433;6,5970;3,5546;-15,0148;0,1034;0,8354;0,5074;6,5970;3,5546;-15,0148
24;5,770178;-0,0181;0,002;-0,01;3,17;-1,7;1,27;0;-0,001;0,0002;-8;-1,17;-1,29;-0,1271;0,8989;0,2741;-4,6820;10,1092;-0,3468;-0,1129;0,8994;0,3371;-4,6820;10,1092;-0,3468;0,1045;0,8481;0,4433;6,6602;2,8913;-14,6566;0,1043;0,8360;0,5074;6,6602;2,8913;-14,6566
25;5,797902;-0,0181;0,002;-0,01;3,17;-1,7;1,27;0;-0,001;0,0002;-8;-1,17;-1,29;-0,1263;0,8989;0,2741;-4,6760;10,1124;-0,3738;-0,1121;0,8994;0,3371;-4,6760;10,1124;-0,3738;0,1046;0,8485;0,4433;5,9679;1,9574;-13,7116;0,1034;0,8370;0,5075;5,9679;1,9574;-13,7116
26;5,825975;-0,0176;-0,0056;-0,0159;2,06;2,42;1,45;0;0,0022;0,0059;-8,16;-1,31;-1,31;-0,1257;0,8988;0,2743;-4,7001;10,1673;-0,3830;-0,1114;0,8993;0,3372;-4,7001;10,1673;-0,3830;0,1041;0,8492;0,4428;5,1020;1,0789;-12,6716;0,1020;0,8386;0,5071;5,1020;1,0789;-12,6716
27;5,853638;-0,0176;-0,0056;-0,0159;2,06;2,42;1,45;0;0,0002;0,0081;-8,4;-1,32;-1,15;-0,1257;0,8978;0,2743;-5,2006;10,3142;-0,3543;-0,1113;0,8989;0,3372;-5,2006;10,3142;-0,3543;0,1029;0,8506;0,4413;4,7076;1,0106;-12,1476;0,1007;0,8405;0,5056;4,7076;1,0106;-12,1476
28;5,882154;-0,0156;-0,0007;-0,0088;1,21;3,11;1,11;0;0,0002;0,0063;-8,57;-1,44;-1,08;-0,1257;0,8977;0,2744;-5,3082;10,4353;-0,3552;-0,1112;0,8989;0,3373;-5,3082;10,4353;-0,3552;0,1020;0,8514;0,4405;4,6735;0,9930;-12,0318;0,0999;0,8412;0,5049;4,6735;0,9930;-12,0318
29;5,909246;-0,0156;-0,0007;-0,0088;1,21;3,11;1,11;0;0,0002;0,0063;-8,57;-1,44;-1,08;-0,1257;0,8979;0,2744;-5,4593;10,5366;-0,5459;-0,1111;0,8992;0,3373;-5,4593;10,5366;-0,5459;0,1011;0,8518;0,4395;4,5357;0,8840;-11,9332;0,0989;0,8419;0,5039;4,5357;0,8840;-11,9332
30;5,937441;-0,0115;-0,0017;-0,0037;1,15;3,03;1,36;0;-0,0002;0,0151;-8,21;-1,49;-1,22;-0,1256;0,8981;0,2743;-6,0380;10,8494;-1,0135;-0,1107;0,9001;0,3371;-6,0380;10,8494;-1,0135;0,1008;0,8523;0,4387;4,0939;0,5492;-11,7588;0,0982;0,8428;0,5031;4,0939;0,5492;-11,7588
31;5,96486;-0,0115;-0,0017;-0,0037;1,15;3,03;1,36;0;-0,0002;0,0151;-8,21;-1,49;-1,22;-0,1257;0,8983;0,2741;-6,1924;10,8984;-1,1328;-0,1107;0,9005;0,3368;-6,1924;10,8984;-1,1328;0,1008;0,8521;0,4388;3,6970;-0,3036;-10,2850;0,0974;0,8430;0,5033;3,6970;-0,3036;-10,2850
32;5,992887;-0,0115;-0,0017;-0,0037;1,15;3,03;1,36;0;-0,0002;0,0151;-8,21;-1,49;-1,22;-0,1259;0,8986;0,2740;-6,1576;10,8995;-1,1845;-0,1109;0,9007;0,3367;-6,1576;10,8995;-1,1845;0,1020;0,8526;0,4393;3,2927;-0,8139;-9,8674;0,0981;0,8439;0,5038;3,2927;-0,8139;-9,8674
33;6,020343;-0,0115;-0,0017;-0,0037;1,15;3,03;1,36;0;-0,0002;0,0151;-8,21;-1,49;-1,22;-0,1258;0,8987;0,2738;-6,2117;10,9029;-1,2247;-0,1108;0,9009;0,3365;-6,2117;10,9029;-1,2247;0,1044;0,8544;0,4367;1,6429;-1,5354;-8,6832;0,0998;0,8475;0,5014;1,6429;-1,5354;-8,6832
34;6,04845;0,052;0,0105;0,0085;1,19;-0,61;2,9;0;-0,0059;0,009;-8,13;-1,31;-1,15;-0,1259;0,8987;0,2736;-6,2358;10,9429;-1,2672;-0,1108;0,9009;0,3363;-6,2358;10,9429;-1,2672;0,1080;0,8566;0,4317;-2,9283;-3,4253;-5,0941;0,1015;0,8547;0,4966;-2,9283;-3,4253;-5,0941
35;6,076303;0,0352;0,0215;-0,0039;-0,4;-1,27;-0,76;0;0,0007;0,0132;-8,62;-1,44;-1,2;-0,1262;0,8991;0,2730;-6,6110;11,1748;-1,2401;-0,1109;0,9017;0,3357;-6,6110;11,1748;-1,2401;0,1137;0,8532;0,4112;-15,1506;-7,3407;-6,9821;0,1028;0,8653;0,4744;-15,1506;-7,3407;-6,9821
36;6,104023;0,0352;0,0215;-0,0039;-0,4;-1,27;-0,76;0;0,0007;0,0132;-8,62;-1,44;-1,2;-0,1261;0,8994;0,2728;-6,6706;11,3037;-1,1006;-0,1107;0,9021;0,3354;-6,6706;11,3037;-1,1006;0,1171;0,8482;0,3905;-23,3663;-5,2745;-13,1814;0,1082;0,8694;0,4516;-23,3663;-5,2745;-13,1814
37;6,132819;0,0256;0,0186;-0,0061;-0,98;-3,37;-2,32;0;0,0007;0,0132;-8,62;-1,44;-1,2;-0,1257;0,9003;0,2727;-6,5858;11,3548;-0,6738;-0,1101;0,9029;0,3353;-6,5858;11,3548;-0,6738;0,1168;0,8464;0,3640;-28,5802;-0,6670;-19,7468;0,1125;0,8734;0,4234;-28,5802;-0,6670;-19,7468
38;6,160285;-0,0007;0,0083;0,0027;-0,67;2,61;-3,08;0;-0,0015;0,002;-8,27;-1,18;-1,27;-0,1249;0,9016;0,2724;-6,2652;11,4114;-0,5170;-0,1093;0,9038;0,3350;-6,2652;11,4114;-0,5170;0,1145;0,8582;0,3376;-26,9144;7,8876;-26,9662;0,1186;0,8840;0,3976;-26,9144;7,8876;-26,9662
39;6,18808;-0,0007;0,0083;0,0027;-0,67;2,61;-3,08;0;-0,0015;0,002;-8,27;-1,18;-1,27;-0,1237;0,9021;0,2724;-6,0826;11,3621;-0,5408;-0,1081;0,9042;0,3350;-6,0826;11,3621;-0,5408;0,1143;0,8675;0,3239;-23,3422;13,4482;-29,0912;0,1244;0,8896;0,3846;-23,3422;13,4482;-29,0912
40;6,215804;-0,05;-0,0352;0,0037;0,99;-2,11;-0,12;0;-0,0002;0,011;-8,15;-1,25;-1,11;-0,1230;0,9023;0,2723;-6,0045;11,3303;-0,5341;-0,1075;0,9043;0,3349;-6,0045;11,3303;-0,5341;0,1158;0,8677;0,3033;-25,1099;19,7766;-27,0354;0,1325;0,8915;0,3619;-25,1099;19,7766;-27,0354
41;6,243558;-0,0002;-0,0142;-0,0046;3,73;-2,79;0,64;0;-0,0012;0,0127;-8,5;-1,26;-1,07;-0,1227;0,9020;0,2721;-6,0368;11,3332;-0,5037;-0,1071;0,9040;0,3347;-6,0368;11,3332;-0,5037;0,1189;0,8582;0,2885;-24,6644;25,8039;-25,4804;0,1418;0,8814;0,3452;-24,6644;25,8039;-25,4804
42;6,271293;0,0022;0,0044;-0,0044;5,29;0,29;0,31;0;0,0034;0,01;-8,31;-1,15;-1,18;-0,1223;0,9014;0,2717;-6,2361;11,4569;-0,3184;-0,1066;0,9037;0,3343;-6,2361;11,4569;-0,3184;0,1219;0,8484;0,2903;-19,6256;29,1964;-27,0248;0,1489;0,8664;0,3471;-19,6256;29,1964;-27,0248
43;6,299169;0,0061;0,0164;-0,0117;4,42;0,76;-0,98;0;-0,0007;0,0063;-8,18;-1,31;-1,21;-0,1222;0,9013;0,2715;-6,2536;11,8624;-0,0461;-0,1060;0,9036;0,3339;-6,2536;11,8624;-0,0461;0,1324;0,8315;0,2818;-18,4936;28,6009;-26,2342;0,1588;0,8483;0,3391;-18,4936;28,6009;-26,2342
44;6,327279;0,0034;0,0176;-0,0132;2,6;0,37;-3,05;0;-0,0012;0,0144;-8,13;-1,4;-1,18;-0,1216;0,9015;0,2712;-5,9615;12,0860;0,7538;-0,1051;0,9035;0,3336;-5,9615;12,0860;0,7538;0,1406;0,8147;0,2738;-19,8051;26,3418;-25,1776;0,1646;0,8329;0,3318;-19,8051;26,3418;-25,1776
45;6,354624;0,0034;0,0176;-0,0132;2,6;0,37;-3,05;0;-0,0012;0,0144;-8,13;-1,4;-1,18;-0,1208;0,9018;0,2707;-5,6357;12,1312;1,0432;-0,1043;0,9034;0,3331;-5,6357;12,1312;1,0432;0,1412;0,8046;0,2756;-19,9468;24,0073;-23,0537;0,1629;0,8229;0,3344;-19,9468;24,0073;-23,0537
46;6,382285;0,0034;0,0176;-0,0132;2,6;0,37;-3,05;0;-0,0012;0,0144;-8,13;-1,4;-1,18;-0,1196;0,9020;0,2690;-5,4752;12,1490;1,3301;-0,1030;0,9035;0,3313;-5,4752;12,1490;1,3301;0,1435;0,7949;0,2792;-21,1273;22,5236;-20,3016;0,1636;0,8143;0,3380;-21,1273;22,5236;-20,3016
