Frame;Time;Acc1X;Acc1Y;Acc1Z;Gy1X;Gy1Y;Gy1Z;Acc2X;Acc2Y;Acc2Z;Gy2X;Gy2Y;Gy2Z;WristLX;WristLY;WristLZ;WristLRotX;WristLRotY;WristLRotZ;PalmLX;PalmLY;PalmLZ;PalmLRotX;PalmLRotY;PalmLRotZ;WristRX;WristRY;WristRZ;WristRRotX;WristRRotY;WristRRotZ;PalmRX;PalmRY;PalmRZ;PalmRRotX;PalmRRotY;PalmRRotZ
1;5,244081;0;0;0;0;0;0;-0,0022;-0,0034;0,0745;-9,58;-1,24;-1,07;-0,4879;0,8146;0,1367;4,0056;-31,5622;6,5396;-0,5187;0,8054;0,1930;4,0056;-31,5622;6,5396;-0,1250;0,8568;-0,0888;-22,7627;-42,5699;-17,2239;-0,1694;0,8776;-0,0456;-22,7627;-42,5699;-17,2239
2;5,29974;0;0;0;0;0;0;-0,0034;0,0017;0,0908;-13,73;-4,33;1,66;-0,4759;0,8291;0,1340;-6,1536;-29,8095;20,0499;-0,5044;0,8322;0,1923;-6,1536;-29,8095;20,0499;-0,1245;0,8564;-0,0896;-22,8654;-42,5569;-17,2044;-0,1689;0,8774;-0,0465;-22,8654;-42,5569;-17,2044
3;5,355682;0;0;0;0;0;0;-0,001;0,0269;0,0872;-16,6;-1,16;1,35;-0,4403;0,8570;0,1039;-15,9067;-29,5323;33,2512;-0,4671;0,8720;0,1612;-15,9067;-29,5323;33,2512;-0,1247;0,8561;-0,0910;-22,8808;-42,5343;-17,1184;-0,1690;0,8770;-0,0478;-22,8808;-42,5343;-17,1184
4;5,410992;0;0;0;0;0;0;-0,0493;0,0356;0,0972;-18,2;-3,27;-1,44;-0,4059;0,8803;0,0640;-26,4539;-26,0701;48,4702;-0,4273;0,9070;0,1198;-26,4539;-26,0701;48,4702;-0,1264;0,8560;-0,0943;-22,6534;-42,5565;-16,9675;-0,1708;0,8766;-0,0510;-22,6534;-42,5565;-16,9675
5;5,466894;0;0;0;0;0;0;-0,0908;-0,0007;0,0886;-14,2;0,6;-5,24;-0,3704;0,9109;0,0028;-29,6086;-17,4413;67,5083;-0,3819;0,9422;0,0593;-29,6086;-17,4413;67,5083;-0,1295;0,8553;-0,1001;-22,6055;-42,6367;-16,7277;-0,1739;0,8758;-0,0569;-22,6055;-42,6367;-16,7277
6;5,522623;0;0;0;0;0;0;-0,0679;-0,0244;0,0684;-17,79;-2,54;-3,11;-0,3147;0,9615;-0,0839;-29,3136;-7,6458;83,3831;-0,3163;0,9940;-0,0270;-29,3136;-7,6458;83,3831;-0,1306;0,8528;-0,1026;-23,0461;-43,0179;-16,6471;-0,1752;0,8739;-0,0598;-23,0461;-43,0179;-16,6471
7;5,577976;0;0;0;0;0;0;-0,0525;-0,0798;0,0679;-29,86;9,11;-5,63;-0,2775;0,9892;-0,1618;-37,8227;2,8546;92,6255;-0,2692;1,0305;-0,1116;-37,8227;2,8546;92,6255;-0,1323;0,8532;-0,1053;-23,9835;-44,0063;-16,9315;-0,1774;0,8753;-0,0635;-23,9835;-44,0063;-16,9315
8;5,634136;0;0;0;0;0;0;-0,0334;-0,0444;0,0515;-30,96;8,4;-5,32;-0,2584;0,9959;-0,2114;-47,0714;13,5366;99,8468;-0,2430;1,0453;-0,1711;-47,0714;13,5366;99,8468;-0,1353;0,8562;-0,1091;-25,6763;-46,1458;-15,6651;-0,1815;0,8801;-0,0694;-25,6763;-46,1458;-15,6651
9;5,689425;0;0;0;0;0;0;-0,0691;0,0073;0,0154;-26,18;36,49;-6,54;-0,2308;1,0036;-0,2561;-49,6628;27,0941;103,2209;-0,2078;1,0551;-0,2227;-49,6628;27,0941;103,2209;-0,1398;0,8592;-0,1105;-27,2583;-47,1076;-16,6744;-0,1861;0,8848;-0,0722;-27,2583;-47,1076;-16,6744
10;5,745129;0;0;0;0;0;0;0,0054;-0,0391;-0,0698;-18,66;25,4;-1,03;-0,2040;1,0174;-0,2926;-51,6077;34,6378;114,9208;-0,1788;1,0709;-0,2643;-51,6077;34,6378;114,9208;-0,1442;0,8653;-0,1088;-27,3657;-50,0921;-13,3624;-0,1923;0,8908;-0,0728;-27,3657;-50,0921;-13,3624
