Frame;Time;Acc1X;Acc1Y;Acc1Z;Gy1X;Gy1Y;Gy1Z;Acc2X;Acc2Y;Acc2Z;Gy2X;Gy2Y;Gy2Z;WristLX;WristLY;WristLZ;WristLRotX;WristLRotY;WristLRotZ;PalmLX;PalmLY;PalmLZ;PalmLRotX;PalmLRotY;PalmLRotZ;WristRX;WristRY;WristRZ;WristRRotX;WristRRotY;WristRRotZ;PalmRX;PalmRY;PalmRZ;PalmRRotX;PalmRRotY;PalmRRotZ
1;5,207582;-0,0388;-0,0745;-0,0042;-2,37;6,86;-4,49;0;0,0078;0,0027;-8,18;-1,3;-1,16;-0,4905;0,8098;0,1286;0,7367;-19,7997;11,9251;-0,5087;0,8049;0,1904;0,7367;-19,7997;11,9251;-0,1036;0,8532;0,0356;-28,4678;-36,0569;-23,4441;-0,1417;0,8802;0,0816;-28,4678;-36,0569;-23,4441
2;5,236395;-0,0444;-0,0757;0,012;-3,9;5,69;-5,69;0;0,0066;0,0071;-8,18;-1,4;-1,24;-0,4908;0,8094;0,1287;0,6464;-19,8447;11,9282;-0,5089;0,8046;0,1904;0,6464;-19,8447;11,9282;-0,1040;0,8525;0,0358;-28,5183;-36,1552;-23,3789;-0,1421;0,8795;0,0816;-28,5183;-36,1552;-23,3789
3;5,262532;-0,0496;-0,0747;0,022;-4;5,44;-5,42;0;0,0061;0,0093;-8,18;-1,4;-1,13;-0,4910;0,8092;0,1289;0,5989;-19,8097;11,7920;-0,5091;0,8045;0,1906;0,5989;-19,8097;11,7920;-0,1047;0,8505;0,0364;-29,0345;-36,8367;-22,9678;-0,1432;0,8781;0,0816;-29,0345;-36,8367;-22,9678
4;5,291387;-0,0647;-0,071;0,0295;-3,76;5,01;-5,05;0;0,0032;0,0032;-8,14;-1,42;-1,21;-0,4908;0,8094;0,1291;0,7711;-19,8807;11,0674;-0,5090;0,8044;0,1908;0,7711;-19,8807;11,0674;-0,1054;0,8487;0,0353;-29,1538;-37,0106;-22,9403;-0,1440;0,8764;0,0804;-29,1538;-37,0106;-22,9403
5;5,318481;-0,0676;-0,0718;0,0449;-3,47;5,79;-2,83;0;0,0071;0,0032;-8,09;-1,84;-1,11;-0,4893;0,8101;0,1297;1,0697;-20,0366;10,1862;-0,5078;0,8047;0,1913;1,0697;-20,0366;10,1862;-0,1060;0,8475;0,0342;-29,1601;-37,0673;-22,9452;-0,1447;0,8752;0,0793;-29,1601;-37,0673;-22,9452
6;5,346235;-0,073;-0,0769;0,0415;-2,98;4,17;-2,16;0;0,0059;0,0051;-8,4;-1,36;-1,31;-0,4859;0,8116;0,1308;1,3108;-20,2127;9,4736;-0,5046;0,8059;0,1924;1,3108;-20,2127;9,4736;-0,1067;0,8471;0,0335;-29,1646;-37,1340;-22,9755;-0,1453;0,8748;0,0785;-29,1646;-37,1340;-22,9755
7;5,374236;-0,0703;-0,0793;0,0415;-2,22;1,79;-1,6;0;0,0039;0,0066;-8,12;-1,28;-1,21;-0,4838;0,8126;0,1316;1,2475;-20,0660;8,7806;-0,5024;0,8069;0,1932;1,2475;-20,0660;8,7806;-0,1071;0,8471;0,0331;-28,9233;-37,1259;-22,9399;-0,1458;0,8745;0,0782;-28,9233;-37,1259;-22,9399
8;5,401854;-0,0586;-0,0823;0,04;-1,83;0,91;-1,21;0;0,0037;0,0144;-8,24;-1,34;-1,36;-0,4824;0,8132;0,1321;1,3969;-19,9762;8,2666;-0,5010;0,8073;0,1937;1,3969;-19,9762;8,2666;-0,1077;0,8474;0,0325;-28,6372;-37,1124;-23,0555;-0,1466;0,8745;0,0777;-28,6372;-37,1124;-23,0555
9;5,44371;-0,064;-0,0896;0,021;-0,2;0,76;0,39;0;0,0117;0,0122;-8,2;-1,42;-1,15;-0,4801;0,8147;0,1326;1,4960;-19,9447;8,0071;-0,4986;0,8087;0,1942;1,4960;-19,9447;8,0071;-0,1080;0,8471;0,0323;-28,3294;-37,0168;-23,1868;-0,1469;0,8740;0,0777;-28,3294;-37,0168;-23,1868
10;5,471531;-0,0627;-0,094;0,0166;-0,47;-0,53;0,96;0;0,0002;0,0029;-8,18;-1,27;-1,24;-0,4767;0,8159;0,1345;1,7592;-20,1975;7,7349;-0,4955;0,8096;0,1960;1,7592;-20,1975;7,7349;-0,1081;0,8472;0,0320;-27,8564;-36,9104;-23,4251;-0,1470;0,8736;0,0776;-27,8564;-36,9104;-23,4251
