Time;AccX;AccY;AccZ;GyX;GyY;GyZ

145,34760,0303;-0,0029;-0,001;-6,28;2,94;1,59
145,35890,0303;-0,0029;-0,001;-6,28;2,94;1,59
145,36940,0332;-0,002;0,0015;-6,15;2,81;1,44
146,07770,0286;0,002;-0,0024;-6,08;2,97;1,54
146,10710,0342;0,001;0,0037;-6,11;3,05;1,64
146,11840,0293;0,0063;-0,0073;-6,08;2,87;1,73
146,1290,0293;0,0063;-0,0073;-6,08;2,87;1,73
146,13910,0293;0,0063;-0,0073;-6,08;2,87;1,73
146,15130,0247;-0,0002;0,0049;-6,15;2,95;1,45
146,16250,0288;-0,0049;-0,0044;-6,13;2,92;1,59
146,17510,0288;-0,0049;-0,0044;-6,13;2,92;1,59
146,19180,0237;0,0015;-0,011;-6,04;2,83;1,67
146,20320,0227;0,001;-0,0039;-6,08;2,86;1,63
146,21440,0227;0,001;-0,0039;-6,08;2,86;1,63
146,22530,0298;0,0029;-0,0073;-6,01;2,92;1,47
146,23640,033;-0,0044;-0,0017;-6,02;3,01;1,59
146,25120,033;-0,0044;-0,0017;-6,02;3,01;1,59
146,26220,033;-0,0044;-0,0017;-6,02;3,01;1,59
146,27340,0293;-0,0049;-0,0178;-6,02;2,94;1,63
146,28430,0264;0,0017;-0,0061;-6,05;2,88;1,5
146,29990,0305;0,002;-0,0125;-5,95;3,05;1,72
146,31030,0305;0,002;-0,0125;-5,95;3,05;1,72
146,32030,0312;-0,0005;-0,0027;-6,1;2,89;1,63
146,32940,0312;-0,0005;-0,0027;-6,1;2,89;1,63
146,33830,0259;-0,0007;-0,0054;-5,98;2,87;1,58
146,34760,0259;-0,0007;-0,0054;-5,98;2,87;1,58
146,35640,0259;-0,0007;-0,0054;-5,98;2,87;1,58
146,36610,0276;0,0005;0,0049;-6,17;2,95;1,6
146,37690,0276;0,0005;0,0049;-6,17;2,95;1,6
146,38930,031;-0,0012;-0,002;-6,02;2,88;1,55
146,40690,0283;-0,0005;-0,001;-5,95;2,91;1,49
146,4180,0283;-0,0005;-0,001;-5,95;2,91;1,49
146,42890,0278;0,0029;-0,0078;-6,07;2,88;1,66
146,43940,0278;0,0029;-0,0078;-6,07;2,88;1,66
146,45040,0227;0,0049;-0,0081;-6,41;2,79;1,4
146,46180,0227;0,0049;-0,0081;-6,41;2,79;1,4
146,47340,0303;-0,0015;0,0085;-6,16;2,9;1,53
146,48480,0271;0,0024;-0,0032;-5,92;2,77;1,71
146,4970,0271;0,0024;-0,0032;-5,92;2,77;1,71
146,51210,0244;0,0029;-0,0015;-5,86;2,92;1,61
146,52290,0342;0,0137;-0,0002;-6,15;2,97;1,53
146,53310,0342;0,0137;-0,0002;-6,15;2,97;1,53
146,54340,0276;0,0042;-0,0061;-5,65;2,85;1,76
146,55780,0276;0,0042;-0,0061;-5,65;2,85;1,76
146,56830,0256;0,0032;-0,0005;-6,24;2,95;1,55
146,57730,0256;0,0032;-0,0005;-6,24;2,95;1,55
146,5880,0347;0,0027;-0,0059;-6,21;2,98;1,64
146,59970,0293;0,0015;-0,0081;-6,05;3,02;1,66
146,61220,0293;0,0015;-0,0081;-6,05;3,02;1,66
146,62280,022;-0,002;0,0015;-5,98;2,86;1,69
146,63260,022;-0,002;0,0015;-5,98;2,86;1,69
146,64220,0212;0,0029;-0,0046;-6,18;3;1,66
146,65170,0212;0,0029;-0,0046;-6,18;3;1,66
146,66180,0347;0,0044;-0,0066;-6;3;1,58
146,67680,0347;0,0044;-0,0066;-6;3;1,58
146,69190,0256;0,0017;-0,0144;-6,24;2,93;1,71
146,71060,0283;0,0015;-0,0078;-5,76;2,9;1,62
146,72560,03;0,0049;-0,0151;-5,95;2,91;1,69
146,73660,03;0,0049;-0,0151;-5,95;2,91;1,69
146,74720,0378;0,0029;-0,0132;-6,21;2,98;1,77
146,75730,0378;0,0029;-0,0132;-6,21;2,98;1,77
146,77060,0271;0,001;-0,0107;-5,9;3,04;1,59
146,7810,0278;-0,0027;-0,0027;-6,21;2,98;1,58
146,79220,0278;-0,0027;-0,0027;-6,21;2,98;1,58
146,8040,0276;-0,0029;-0,0076;-6,02;2,94;1,47
146,82280,0312;-0,0012;-0,0046;-5,99;2,96;1,53
146,84420,0312;-0,0012;-0,0115;-5,91;2,83;1,65
146,85850,0312;-0,0012;-0,0115;-5,91;2,83;1,65
146,87280,0237;0,0022;0,0002;-6,18;2,89;1,66
146,89910,0286;0,0002;0,0017;-5,9;2,97;1,69
146,91460,0286;0,0002;0,0017;-5,9;2,97;1,69
